cMD proposed code	doi.org link	Sequence Acc. code	Seq. Repo.	Sequence Acquisition status	Sample metadata acquisition status	Cases/Controls	Country & geography	Funding sources	Notes
BoktorJC_2023	https://doi.org/10.1002/mds.29300	ERP138199	ENA		Table S10	46/26 HC + 41 PC	"Chicago, USA"	ASAP/MJFF	
BoktorJC.2_2023	https://doi.org/10.1002/mds.29300	ERP138197	ENA		Table S10	88/30 HC + 42 PC	USA	ASAP/MJFF	
MetcalfeRoachA_2024	https://doi.org/10.1002/mds.29959	Upon request			Requested via email	176/100	Canada	"Canadian Institutes of Health Research (FDN-159935), Parkinson Canada (PPG-2020-0000000052), and the Pacific Parkinson's Research Institute (GR008160)."	Ref 2 has 16S dataset from same authors
QianY_2020	https://doi.org/10.1093/brain/awaa201	PRJNA433459	NCBI BioProject		Requested via email	40/40 + 218 with different diseases for validation	Shanghai (China)	"National Key R&D Program of China (No. 2016YFC1306000), the National Natural Science Foundation of China (Nos. 81071023, 81430022 and 81771374), Shanghai Municipal Science and Technology Major Project (No. 2018SHZDZX05), the Shanghai Sailing Program (No. 18YF1414000), and the Doctoral Innovation Fund Projects from Shanghai Jiao Tong University School of Medicine (No. BXJ201714)."	
PalaciosN_2023	https://doi.org/10.1002/ana.26719	phs002193.v1.p1	dbGAP		Needs official request	75 PD + 101 Prodormal/131 healthy + 113 healthy and constipated	"Boston, USA"	UM1 CA186107 (NH/NIH HHS); U01 CA167552 (CA/NCI NIH HHS); R01NS097723 (NS/NINDS NIH HHS)	
DuruIC_2024	https://doi.org/10.1038/s41598-024-69742-4	PRJEB59350	ENA		Requested via email (NDA required)	68/68 controls	"Helsinki, Finland"	Novo Nordisk and Academy of Finland NNF22OC0080109	A lot of interesting analysis methods
ZhangF_2020	https://doi.org/10.21203/rs.2.21271/v2	NA	Upon request		Requested via email	46/46 Household Ctrl	Central China	"Hubei University of Medicine (Grant NO.FDFR201615), National Natural Science Foundation of China (Grant NO.703496) and Hubei Health and Family Planning Commission (NO.WJ2017M231)"	
WallenZD_2022	https://doi.org/10.1038/s41467-022-34667-x	From Haydeh or PRJNA834801	ASAP hub or ENA		Available at Zenodo (no host genetics)	490/234 ctrls	Deep South USA	ASAP/MJFF	
NishiwakiH_2024	https://doi.org/10.1038/s41531-024-00724-z	DRA016410	SRA		Requested via email	94/73 ctrl	"Nagoya, Japan"	"Japan Society for the Promotion of Science (JP22K17343 to H.N., JP23K06412 to M.I., JP22K15394 to T.H., JP23H02794 to K.O.); the Ministry of Health, Labour and Welfare of Japan (23FC1014 to K.O.); the Japan Agency for Medical Research and Development (JP22ek0109488 to K.O.), and the National Center of Neurology and Psychiatry (5-6 to K.O.)."	"Did meta-analysis on 9 data sets (10 - Jo 2022), see table S1"
BedarfJR_2017	https://doi.org/10.1186/s13073-017-0428-y	ERP019674	ENA		Requested via email	31/28 ctrl	"Bonn, Germany"	"Key european Pharmas and institutes (Marie Curie, ERC, DZIF, EMBL, ...)"	"WangS found AUC 0.91 using biosynthetic gene clusters https://doi.org/10.1016/j.neulet.2018.12.021, phages discussed by https://doi.org/10.1038/s41598-018-29173-4"
MaoL_2021	https://doi.org/10.3389/fmicb.2021.728479	PRJNA588035	NCBI SRA		Requested via email	39/39 ctrl	"Xiangyang, China"	NA	
JoS_2022	https://doi.org/10.1038/s41531-022-00351-6	PRJNA743718	NCBI SRA		Upon request	82/74 ctrl	Seoul/South Korea	Korean Healthcare Technology R&D Project (HI19C0256) ; Asan institute for life sciences (2018-0622)	"It was excluded in Nishiwaki 2024 meta-analysis, see table S1 for why"
ZhangM_2023	https://doi.org/10.3389/fnagi.2023.1148546	PRJNA985875	NCBI SRA		Upon request	24/0 ctrl	"Huai’an, China"	"Jiangsu Provincial Geriatric Health Research Project (LK2021049, LKM2023044); Huai'an Key laboratory of aging and geriatric syndrome research (HAP202105)"	Sex differences among PD patients
QianY_2024	https://dx.doi.org/10.2139/ssrn.4871254	Upon request	Authors		Upon request	39/39 ctrl	"Ruijin, China"	"National Natural Science Foundation of
China (Grant Nos. 82171246, 81870998, 81901283 and 81801254), the Key Field
Research and Development Program of Guangdong Province (Grant No.
2018B030337001), the Clinical Research Plan of SHDC (Grant No.
SHDC2020CR3012A), the Shanghai Rising-Star Program (Grant No. 22QA1405700),
the Shanghai Sailing Program (Grant No. 22YF1440200) and the National Key
Research and Development Program of China (Grant No. 2022YFE0210100)"	
BeckerA_2022	https://doi.org/10.1016/j.gpb.2021.08.009	"PRJCA004435, official request needed"	China National center for Bioinformation		Upon request	"32 PD + resistant starch, 25 PD + diet, 30 ctrls"	China	MJFF; German Parkinson Society	"Just cases, but interesting experimental design"
NieS_2023	https://doi.org/10.1007/s00253-023-12489-1	"CNP0003327, needs request"	China National GeneBank DataBase		Upon request	47 PD/ 43 Healthy	China	"National Natural Science Foundation of China (42177274, 31961133025) and the State Key Laboratory of Urban and Regional Ecology (SKLURE2022-1-3)."	
BolliriC_2022	https://doi.org/10.1002/ana.26454	Upon request	Authors		Upon request	"20 x 2 monoz. Twins, discordant for PD"	Italy	"Fondazione Grigioni per il Morbo di Parkinson; the ASST-Pini CTO of Milan, Italy"	Very few signals found
ChenS_2022	https://doi.org/10.1212/WNL.0000000000013225	SUB10308106 or PRJNA762484	NCBI BioSample or SRA		Upon request	96 PD / 85 HC	Taiwan	"National Taiwan University (NTU-110-A-CC-5400-64841), National Taiwan University Hospital (NTUH 109-T18 and UN109-011), National Taiwan University Hospital Bei-Hu Branch (11005), and National Health Research Institutes (NHRI-EX110-10716NC)."	SCFA data available too
LiZ_2021	https://doi.org/10.3389/fimmu.2021.632482	CNP0001697 but it isn’t there	China National GeneBank DataBase		Upon request	69 PD / 81 Healthy age matched + 66 spouses + 97 “Normal controls”	"Guangzhou, China"	"internal unrestricted research grant E473 to ZhuoL, Youth Program of National Natural Science Foundation of China (Grant No.: 82004459) and Natural Science Foundation of Guangdong Province, China (Grant No.: 2018A030310521)"	"Health controls (N=81) is a different dataset, should be asked separately. Also, separate “normal controls”were from https://doi.org/10.1038/s41467-017-00900-1"
LeeEJ_2024	https://doi.org/10.21203/rs.3.rs-3742244/v1		Not stated		Not stated	"15 body-first PD, 9 brain-first pD, 12 undetermined PD"	"Suwon, South Korea"	National Research Foundation of Korea (NRF) grants funded by the Korean government	Nice parkinson subtyping through diagnosis
