sample_id	NCBI_accession
c3eb1e35-9a43-413d-8078-6a0a7ac064ba	ERR1912994;ERR1912995;ERR1912996;ERR1913186;ERR1913187;ERR1913188
a82385f0-d1be-4d79-854c-a7fbfe4473e1	ERR1912998;ERR1912999;ERR1913000;ERR1913001;ERR1913190;ERR1913191;ERR1913192;ERR1913193
a1444b37-d568-4575-a5c4-14c5eb2a5b89	ERR1913069;ERR1913070;ERR1913071;ERR1913072;ERR1913261;ERR1913262;ERR1913263;ERR1913264
2a497dd7-b974-4f04-9e1f-16430c678f06	ERR1913088;ERR1913089;ERR1913090;ERR1913091;ERR1913280;ERR1913281;ERR1913282;ERR1913283
496a2d0c-75ae-430f-b969-b15dedc16b3c	ERR1912986;ERR1912987;ERR1912988;ERR1913178;ERR1913179;ERR1913180
4a786fd8-782f-4d43-937a-36b98e9c0ab6	ERR1912958;ERR1912959;ERR1912960;ERR1913150;ERR1913151;ERR1913152
c789b8bc-ebe6-4b85-83e1-5cf1bbfa6111	ERR1913092;ERR1913093;ERR1913094;ERR1913095;ERR1913284;ERR1913285;ERR1913286;ERR1913287
d311d028-a54b-4557-970c-eb5b77ec0050	ERR1912976;ERR1912977;ERR1912978;ERR1913168;ERR1913169;ERR1913170
373a5ac4-161a-46c6-b7d8-4f28b854b386	ERR1913017;ERR1913018;ERR1913019;ERR1913020;ERR1913209;ERR1913210;ERR1913211;ERR1913212
5a93179f-7ca7-41d8-96d7-dbed215894aa	ERR1913047;ERR1913048;ERR1913049;ERR1913239;ERR1913240;ERR1913241
7a2e961b-2f13-4760-9392-c896c54e7ec3	ERR1913122;ERR1913123;ERR1913124;ERR1913125;ERR1913314;ERR1913315;ERR1913316;ERR1913317
c6ecc460-33db-4032-9092-9148a134f5dc	ERR1913032;ERR1913033;ERR1913034;ERR1913035;ERR1913224;ERR1913225;ERR1913226;ERR1913227
e4a83901-e130-4b64-9e7a-fea55bc5f3f2	ERR1912967;ERR1912968;ERR1912969;ERR1912970;ERR1913159;ERR1913160;ERR1913161;ERR1913162
6a034c9f-f7c9-4ead-812b-123ee99b1e0b	ERR1913104;ERR1913105;ERR1913106;ERR1913107;ERR1913296;ERR1913297;ERR1913298;ERR1913299
ee26b6f0-89fd-45d0-8af9-bc1d9647a700	ERR1913037;ERR1913038;ERR1913039;ERR1913229;ERR1913230;ERR1913231
