sample_id	NCBI_accession
e54e5a0a-fcd7-409e-b8fd-c49ee8ad5933	SRR26895054
70034ee9-4bb7-4b7f-b538-c84d426be188	SRR26895053
775ca73b-3cfa-4802-8ba3-82944a9eafc0	SRR26895042
ceff9d8d-3de4-4cdf-9793-212ec6f0ee1d	SRR26895031
f0c26de2-4a3d-4cb5-9413-110c38debf26	SRR26895024
c1b49faf-4478-43a0-b2c7-7f75681574c5	SRR26895023
22e7db32-46bc-4e67-87cb-41590012964b	SRR26895022
d00fce73-a6d6-4bdd-bb79-7bfa5102eaf5	SRR26895021
19a798ce-fdf4-49a3-a971-9b4b50054534	SRR26895020
e90b1902-aaf0-407c-8c97-c1a83a6c6936	SRR26895019
295e2512-4812-42d8-8a60-fdac19addbb0	SRR26895052
df884b8b-ccf7-4fc3-bdf9-43488e5f74f3	SRR26895051
bcd36f32-f5b6-4b7c-94ed-157e953127cd	SRR26895050
56fb7aa8-51e8-467a-9635-0e49ccbdafa0	SRR26895049
080617c8-b920-4e6c-84d5-7d2a2d9be36b	SRR26895048
598435b0-083c-4049-8129-83a80afa9125	SRR26895047
d65323c8-065f-4e9b-b4a9-21c2e58e3ac2	SRR26895046
55a2846e-d2b1-40f4-beaf-085304ca7855	SRR26895045
df9f01e0-ef4d-47d7-b7fb-858d9e145cae	SRR26895044
72662e1a-819b-4cb5-8036-80c322d6652a	SRR26895043
d3ac62e5-5145-43e3-b310-34f5104c5740	SRR26895041
f3e60388-ff4f-40ff-a73f-d91d33ead335	SRR26895040
f8259a4d-45df-4e11-8e7f-76f3d12d5899	SRR26895039
38435cac-c1c2-4e4d-bd66-0a8421ba5253	SRR26895038
b74c69f8-20dd-4748-95dc-a374c42e2fa9	SRR26895037
bece60e3-f34e-4977-8ee9-ae2d5531eb98	SRR26895036
92d97736-2a00-4e43-80c1-397e0326e82f	SRR26895035
b029da20-2f02-422d-8132-54838295941a	SRR26895034
133bd3b9-3989-48e6-8447-399d3cf8ef84	SRR26895033
2e2186f0-ca3c-489a-9db1-b28af39cf846	SRR26895032
ee79eab9-f9b8-439f-b5dd-b78259bf5081	SRR26895030
2c4af272-9f02-44fc-9a7e-35c628a0caf0	SRR26895029
825d3181-2beb-418a-a795-f8b88c7bce74	SRR26895028
76d9fb8f-a895-45bd-a231-16982cf89a41	SRR26895027
c2aae29f-815b-4f94-a81d-b2a4b1dfcabb	SRR26895026
3d78f39a-e558-471e-a4fa-3faf3a3e7ab9	SRR26895025
