sample_id	NCBI_accession
dbeae080-3ce6-468f-908d-28aeefa17046	SRR10403544
60083cd7-e3c6-49fe-991c-b8bf1b0b7e36	SRR10403543
037e0ba7-91bd-417f-8e63-6335cc18819c	SRR10403532
7bca4f71-7480-47e2-bbcb-1f827d81711c	SRR10403521
b25b10d6-e12f-40d1-929f-0bf5d0f6afdf	SRR10403566
8ccd3c20-2515-45bb-b086-8a76aef331f8	SRR10403555
9486f806-c039-4e16-b07e-fa35b65c40df	SRR10403516
392c9828-a5d7-4f52-beee-e418172bf885	SRR10403505
8793b1dc-3ba1-4591-82b8-4297adcfa1d7	SRR10403496
ccc61526-0a87-40d2-bbec-253d9a8265f3	SRR10403495
2f9093c7-2002-4341-b51a-4b537c21e449	SRR10403542
bcae181c-1ce5-40a5-a0ed-288a2c010bd3	SRR10403541
8f0926c5-0e99-44df-9873-6fded403605c	SRR10403540
86d2aac6-5f23-4ab2-8f5d-016e679af0fb	SRR10403539
5352d4df-5c6b-4466-a87e-d596d06e6263	SRR10403538
13c81cad-9d6b-43fe-a267-e47d361448af	SRR10403537
64861e2e-9cdc-4456-ae26-aa2563743eab	SRR10403536
04f58bf9-9762-46f0-bd27-cc0d75b896a8	SRR10403535
97bfca5a-8417-4061-8d82-3ad5dd3816f8	SRR10403534
da1f5d3d-b67f-4235-9789-2c741cfe1a0d	SRR10403533
d2d2ebca-10e6-4265-8fa2-26896769cbdb	SRR10403531
1a7df025-8a0d-43e2-ad36-83ebfbd6f509	SRR10403530
98aa6c72-5eaa-4271-8cfb-a2c89978a1a1	SRR10403529
80104ef6-43c7-4aaa-8391-72595c4e01fe	SRR10403528
d9819f28-6ffa-41ff-9597-465eb2106fe4	SRR10403527
2fbbd2ad-1671-48cf-a6fc-1aec26ebe55c	SRR10403526
1561d448-7079-41f2-bdd8-d747986c552e	SRR10403525
0b2d9f38-0cdf-41e8-bd4f-d5be3ae349a1	SRR10403524
dcd7392c-049a-42ff-ae38-3012620885cd	SRR10403523
2a240c47-d912-4806-81fa-1f3c049833c4	SRR10403522
0c842de9-83fd-4c19-a31a-f81cbfff8b58	SRR10403520
e7fc710b-2398-4700-81d8-7e6187f5a939	SRR10403519
529318b0-373b-4e90-bad5-9571690a437f	SRR10403518
250572dd-82fc-4450-bf2b-adba95b196a7	SRR10403517
7a3aac29-27c7-4b03-ae0e-d14dd7756b52	SRR10403572
05b7d918-cf7d-4fbe-9f24-1c4bf8fd9bac	SRR10403571
1b3f210e-a928-4277-b851-96eb54a6d6cb	SRR10403570
f7eae57a-d850-4758-8f3c-10405b138758	SRR10403569
4f2adf25-b443-4da7-9d8d-07265aaca455	SRR10403568
0b0db7b7-c47e-4648-bbff-928029a99513	SRR10403567
20e47ca3-7848-470f-a3b0-0a05a1dc49d5	SRR10403565
d3f3621f-4df1-4215-baf1-e341a06187c8	SRR10403564
f2a38bb9-5d9d-4f0d-b593-96b8c4bcf656	SRR10403563
5474dc82-be93-4197-a4a4-6ee0bce623de	SRR10403562
02673382-07bd-4115-a8ef-96143bc8d36f	SRR10403561
1ad7585e-38a3-4296-8f47-fdd1998f74c9	SRR10403560
b2067545-0af9-4147-b42f-a8fecd0797c7	SRR10403559
a0ec557a-94bb-478e-8adf-ceede3541dc7	SRR10403558
1af1e8cf-617c-40a1-bfcf-ceee39bb176a	SRR10403557
048bdb94-15ba-44a7-b500-af60df3a9399	SRR10403556
2502b076-81d4-447d-8a39-ce192b9cdf46	SRR10403554
acbfaaf6-96a7-40f0-955d-ade00cf9cfd5	SRR10403553
b596ca96-38fd-4421-85c0-ff698f4ef609	SRR10403552
45bb9319-0df6-4316-b35c-961aab935dd7	SRR10403551
4985aa08-6138-4146-8ae3-952716575395	SRR10403550
c508d598-1fe5-4cc7-8c15-83f7023fa348	SRR10403549
f899b110-3c06-4f16-9b92-be5d92f98ea3	SRR10403548
6f50e53b-1633-44b7-8f50-1454de2ff6d0	SRR10403547
4c7d63c3-fb25-46a5-bdbf-6ae49a541d62	SRR10403546
e5db2658-fcfb-4498-a2af-b505b167b743	SRR10403545
fef48567-7d70-407b-913c-b594fd55b579	SRR10403515
0ed76a5c-b7ec-417b-925b-9d94f6dd42f6	SRR10403514
7988a5b8-d97e-4ef0-a2c2-02e302ac910b	SRR10403513
689ea475-e1ee-47db-9630-4e6e8c516fb9	SRR10403512
982ce6f7-6996-42a3-a5bf-94b538a2ace0	SRR10403511
c9b2528f-d27c-4dac-818f-c44babea4140	SRR10403510
31ae2069-3fda-4cc4-b12a-4163b04356e2	SRR10403509
59c2dee3-1686-490a-a4ba-8d95b84acff7	SRR10403508
409a305f-f2c2-4397-936f-d332983a552e	SRR10403507
d4217ace-a87d-4d21-95d8-58c434f6f279	SRR10403506
a86d6509-5e67-4dbd-88ff-9928b8457adb	SRR10403504
2e50e46c-b28f-49a6-95ab-86f23d7dc05c	SRR10403503
56a122c9-f439-403b-8000-a80abe23296d	SRR10403502
939be304-c94d-4068-8c6c-f2ebc5a01a11	SRR10403501
4dac0d2f-41df-4337-9439-bc152e05237f	SRR10403500
a99e0a0b-fe68-4683-abfb-095e044f0833	SRR10403499
7447476f-5eb0-4789-be62-b242c65295a8	SRR10403498
40da8008-43ed-4800-8d53-e6e6a7a4eb14	SRR10403497
