sample_id	NCBI_accession
070a8ccc-f98f-4444-aa1d-81be94af736d	DRR480283
bc3c1b75-071a-42b2-b544-1e142dadc1f6	DRR480284
036af248-c937-4836-83bb-814aee774945	DRR480285
c9aeea6a-a42c-406d-a475-a7db18c08424	DRR480286
43b615dd-9baf-4f2d-9e11-1225b185f102	DRR480287
daab1293-98f3-418f-8d36-ede5d19d4378	DRR480288
8f9ccf90-9ff4-462b-b23c-c3b329135316	DRR480289
12da4414-b682-493a-897e-cf18ad0396a1	DRR480290
69ab5f43-43fe-4639-906c-2a19f017fbfe	DRR480291
cebe8256-e8b2-4621-9a03-330660559228	DRR480292
45c50fbf-b11d-4f56-a539-ef376f3bc6a7	DRR480293
bc99fd76-50cf-4f6e-b259-19f66eff4820	DRR480294
57701dfa-ba8f-4ef7-8863-cb21c57fdd67	DRR480295
98c0cb87-60d6-40d6-b3b8-98392e791a15	DRR480296
f493c682-d86b-4cd8-8ef8-6339e15f5fe3	DRR480297
e4530c44-39e1-46cf-87be-ecc166594209	DRR480298
5876e82e-1020-430a-9ffd-0518c019ff59	DRR480299
a2d39b41-3f09-4049-bbcd-3f37aa4da213	DRR480300
01e88104-5cee-4583-91d1-1dac6de05a40	DRR480301
c38eceb2-eab4-45e4-acf4-cf9c2eeddd13	DRR480302
2d610921-84fd-4710-9b42-014ce253c104	DRR480303
41e7edab-665d-4f4c-a4d3-597d8111f31c	DRR480304
0a903bf8-d6e9-49f1-9e04-8b4abab80c93	DRR480305
6f51a70f-942e-4553-a33c-3281fc29ecd6	DRR480306
664f5a2b-0b26-4da1-9841-1137ccc9d2d6	DRR480307
052fb847-5bd8-40ec-b5c1-922ab41033c1	DRR480308
0e8d9953-866b-47cc-9872-b481892390f0	DRR480309
351d60e6-c7a2-4aec-8d4e-66efc3154bf5	DRR480310
84af2604-ad8a-455b-8eb5-44d080cb616e	DRR480311
8a1d1cf1-3855-4019-b266-a47db3678cf6	DRR480312
95c4b975-ec29-4300-a5e8-75fc335947e0	DRR480313
7db816c8-7528-426e-9cf2-aed375f708c2	DRR480314
e42fce63-d1df-44f0-950e-e2f85a46008b	DRR480315
7cb48b41-86b0-4f21-832b-a63684ee3b21	DRR480316
f0a69fcb-880b-4721-b1b1-9ef64d9a9f51	DRR480317
037d9c8f-0945-422c-98e7-c0e262b54453	DRR480318
199b5db0-5b88-4310-9123-3c18dc51880a	DRR480319
097f4c57-3f74-45be-a299-f7f02c6277bb	DRR480320
49153d56-1107-483c-92c2-f71648eab63a	DRR480321
8a0f4b68-c6c1-4b86-abb4-f51c9ba925ba	DRR480322
b5f9ca64-75a3-4273-af28-d11921992770	DRR480323
1a3e8dde-453a-469b-8c80-76a1073b291b	DRR480324
d9d4d3e9-00f3-4f50-9154-136efe01e642	DRR480325
cf608836-f0ab-4b11-934a-b49a1a94ace1	DRR480326
92ed1618-ac07-423a-9d88-740f42187d37	DRR480327
6642beff-b12c-428b-a738-07a514437a79	DRR480328
7fbf9a0f-130c-4c1e-ab9a-866ccba488dc	DRR480329
4fddc235-c4e5-4fe7-88dc-fc2078045b52	DRR480330
fc958dee-09dc-477c-badf-3e42036fb4b8	DRR480331
14474806-8546-4a75-b557-dbe4df965f34	DRR480332
e308aa53-84af-42dc-9f6a-1f2d9b6cc733	DRR480333
b439e8f0-18ab-4097-84e6-f90c5d3c0e54	DRR480334
77d0b265-b40a-49d0-a872-c9eb0525c872	DRR480335
462a7031-0545-44c6-b87b-69aebb090637	DRR480336
78b29497-76eb-481c-a560-c66b2fff03aa	DRR480337
035ef826-8f85-4a6b-84c8-7e031c65885f	DRR480338
d2270b42-e743-48d5-91f5-e3fbe228b622	DRR480339
e8c80573-673a-4f92-94bb-8701b573977c	DRR480340
2b517ffd-d735-4749-9c94-76ac75437a5b	DRR480341
47e11cd4-e57f-467a-8824-5637d6813abb	DRR480342
615a9b15-0e0e-492e-8137-446d3a8536a6	DRR480343
19dae0ed-c3dc-422d-aa74-529bae5ee8c6	DRR480344
bc990d45-773d-4b23-bacb-de9cf7a3ea1a	DRR480345
0b37ae6d-be2e-4d9b-a9db-174f38421abb	DRR480346
fa60c410-a0e0-45fa-ad63-9585ce87ad27	DRR480347
46d91ba3-4f73-444b-81ce-4a6b3d5c82f9	DRR480348
1951e125-28ea-4e38-b2b1-6e4235b691bc	DRR480349
6355c63e-2ca3-41ae-a316-51afd06116fe	DRR480350
116b44d1-a587-4834-8a3f-e9210a82d50b	DRR480351
375fbf7b-2dba-4106-9963-f3a9748b14bf	DRR480352
b7979b28-97d5-4681-a2a7-8bccd0d893b4	DRR480353
6952c77b-c4ce-4c3e-a2a7-97b4134f41fc	DRR480354
c4627139-efc9-455d-85cf-bb6d9a550677	DRR480355
5d714522-98df-47b6-83b3-371cacf8c915	DRR480356
05e88693-fe39-47f9-96fc-c2ac504daedd	DRR480357
997efcc7-9a83-4b7e-8380-d29e7d194077	DRR480358
f4e3f5b3-2a09-468e-99c6-a52b76929508	DRR480359
6b3c1d63-fcf1-42d8-ba67-2ca9275e86a9	DRR480360
61453870-ec31-4bff-b392-d1b64634c794	DRR480361
671b99f6-2a8b-49da-bcba-f65c20068b58	DRR480362
488834f3-54b9-4c36-b3e5-0a89ed93ac0c	DRR480363
d2481cca-a255-423b-a42b-3c2b2b6996be	DRR480364
5bc6d11e-015a-4803-b6ce-6a39c7dfdb7e	DRR480365
7750707d-276e-44d3-a656-cd334074aee9	DRR480366
6628fd43-106b-48f3-a11c-a2a20aa4a6ee	DRR480367
fde98239-2492-4b8e-8ed9-72b8ab4ff387	DRR480368
7cd1d805-e7b9-45ef-ae0a-ea83629721f9	DRR480369
8f6ad05c-fc04-4ee1-9b7d-efcacf400f89	DRR480370
1075a1e8-ba5e-438f-997b-377646822ec5	DRR480371
12166bac-18d6-4918-8300-aecd8f1c83ac	DRR480372
0d25f20d-ac44-4144-8ef4-01fa1a241cd4	DRR480373
d1f343cc-4405-4c0a-9bc1-a0bb43074b87	DRR480374
b781b2f4-7fa7-410a-b647-55e25bb8fa3f	DRR480375
0a31896a-6e8d-4f3d-9401-157daab7fcd5	DRR480376
c6537b8e-7461-408f-a190-067aed595713	DRR480377
dd11e765-2cd8-4fd2-95a7-5492172f067c	DRR480378
d0a8c47a-6f3f-4042-807b-418655b7276f	DRR480379
ed48240e-5db7-425d-a246-cc651d3156a4	DRR480380
ebbf9eef-05db-4137-9750-e48df475bc6c	DRR480381
99848cfd-38a8-4b31-9ecd-5df70b882b74	DRR480382
34da175e-fff8-43a2-ad64-c7fa1125f586	DRR480383
f13c3568-75a7-4daf-ad94-3c1bf1fbdd71	DRR480384
1264d589-4386-40e6-91b9-a72186e76ccd	DRR480385
