sample_id	NCBI_accession
04a052a2-ee46-4e4c-aec0-44b7080f5f89	SRR10983090
928183ef-66fc-4f60-838c-8eaa786a6b8f	SRR10983089
f0a3ee17-429b-4e3f-bb21-72b9fe75f779	SRR10983078
61f464c9-8a99-4424-9613-c41599462543	SRR10983067
56f2eb83-5599-419e-87b1-3b5a3fc10c7b	SRR10983056
f0a0cff3-b788-4bd2-8279-86271c200b90	SRR10983045
2cbc6e53-7c4d-4b34-9dd5-cfbf8ff09c5a	SRR10983034
f973e4f7-b1af-4b16-b494-e4d7a738a89d	SRR10983023
9402e6c8-5cda-4449-9465-aa3d6df0001a	SRR10983012
a469330b-4684-4b8f-a9c9-9ec2c6b6c782	SRR10983011
5a694424-8234-4177-8cfb-ef9cc8693492	SRR10983088
52c2f144-21d4-4fd9-bb91-501c0805b561	SRR10983087
aca8e693-c468-4c01-bf79-20c9c969b1c6	SRR10983086
6321d6d1-f32e-45a5-9f7e-b3630389bc5c	SRR10983085
4b6a56a2-2945-48db-81fd-7eeb302b26f2	SRR10983084
253d1789-1b63-410f-b6b0-7784ef67208b	SRR10983083
cdafc9f2-475f-4464-8458-4dd2d7f95f1a	SRR10983082
2c0bd6f8-ffa4-4604-b867-252cdd8b870c	SRR10983081
43d52948-09c5-4e30-a24f-8b717ecc1532	SRR10983080
1bcce4c1-4948-49e0-9c41-f76ab398c30f	SRR10983079
1f38dfcb-d13a-4294-af72-d8e91ff43439	SRR10983077
590a7db7-041e-497b-8c2d-9cb00fc9f59b	SRR10983076
90246c6a-aa49-4568-a3f9-76500b5ef327	SRR10983075
957edbc2-4069-4950-8fd8-d0df6c6bfe78	SRR10983074
550d70d4-cc56-4749-b9b8-4955c9f289d6	SRR10983073
925f6080-3783-44ca-bdee-ef106da9c9e0	SRR10983072
cfad7ff9-4a77-49c2-87b0-9b1ea2f77da2	SRR10983071
49501617-0f50-4264-8961-2da543eaace1	SRR10983070
e8ac7ff8-ebc8-43c5-916e-b4592c608cfb	SRR10983069
23a9da3a-4f3c-4974-916f-395808ec94de	SRR10983068
cb81f233-ea5f-4861-a50a-4ce24e86321e	SRR10983066
935e3425-e129-4ebd-b17d-d78e07a80904	SRR10983065
7906008a-fd3e-440c-a747-7808dbe07758	SRR10983064
5ea4217e-034b-4355-96fe-9f13f0711b2c	SRR10983063
f8c4fb65-bc21-458c-a3fd-beb0e859cdd2	SRR10983062
6966c455-646e-409e-89f0-5ec37f8d7656	SRR10983061
ce70f768-a8e8-4b48-9655-2d90afee1a33	SRR10983060
be606f60-c29c-4679-9fa0-6a43c9221f29	SRR10983059
e7ec7847-5e57-44ac-bc1e-b59ab7b33532	SRR10983058
36fb29b3-ec3f-41f8-a4b0-d2d9d0b2158b	SRR10983057
86e64d04-e626-4a9f-bc36-3bdbe393fffc	SRR10983055
1d928b5d-f576-48bb-a984-e62c36b78093	SRR10983054
c013f06f-96d7-46e3-b9ce-ed8a9ea0db19	SRR10983053
f1ab5843-6f73-4836-a344-c29d79ca799f	SRR10983052
a08c208d-fb43-4211-99c5-92d229c804d5	SRR10983051
a46ddb05-f979-4988-9a94-d41fbc05354e	SRR10983050
b754e6ae-2fa9-40b6-8bfc-b08144bcd054	SRR10983049
fd7706ba-06f2-44dd-b5b8-d68e0ec3a21f	SRR10983048
8560fa86-d949-4cc0-ac9b-1fb934027e9a	SRR10983047
2d03080d-f57c-4752-981d-9a7b4e6c37ea	SRR10983046
553a3113-7c6e-4115-8a05-36a44c8317b1	SRR10983044
0a5ed97b-79f3-438a-8a9f-ada536247ed2	SRR10983043
63fb229a-897d-400f-8c2d-7dd7246f082e	SRR10983042
df496ce9-093c-4945-9ef3-04d9610cd85f	SRR10983041
9a715ed5-5a1e-4ffb-a35f-1c8b098b05be	SRR10983040
9de3442b-586e-4171-8006-34f6873e7cbe	SRR10983039
3502f94e-079e-4ecc-99f3-4dc871529fa0	SRR10983038
eb136e4e-4785-4431-af78-339a5a9cacd1	SRR10983037
845c5e7e-28f8-4e7a-b6f2-d698e081fce9	SRR10983036
7821096e-678e-4d7b-a1af-8e4f526b6229	SRR10983035
d4c9c70e-e468-4f12-a370-ab442efde226	SRR10983033
494a2324-6f4b-44fa-a050-684bd5806962	SRR10983032
cd64b159-4d6c-4a45-8473-6ceab180f596	SRR10983031
69c48e67-9baa-4804-bc2b-005767745f06	SRR10983030
d85614b7-842c-4c5b-af9c-3aeeeb17aed5	SRR10983029
35fd09d6-11ea-4aea-97ce-d62d608f08f7	SRR10983028
63fd2f8c-b984-42ce-a4e8-ca027e14d78c	SRR10983027
f470486e-73f8-40a6-a4ae-5c23b24bd710	SRR10983026
aa81957d-7a62-4d9a-a504-6dfbe43af107	SRR10983025
207cb6e1-8cc3-4870-a1aa-7ab2433a5c86	SRR10983024
4dad4b17-fd7e-4751-98e9-91543029bc60	SRR10983022
a8c22940-43c9-4d18-86c0-8b2141cada7c	SRR10983021
d138b289-db28-419a-b004-7eb4a5f4a648	SRR10983020
1803a056-2a7e-4bb8-bc5e-6375d28f91fb	SRR10983019
87a38242-04fc-4206-886b-3c85dfc50b44	SRR10983018
adb44a74-ca0a-44f5-ba6c-9660fd8f43f0	SRR10983017
e3f265b2-16c0-453b-b507-62def28e6cb8	SRR10983016
795b50bb-e4c2-42cd-8f92-b114f2049e51	SRR10983015
3196d813-88bc-4af5-90f4-38b2174f2941	SRR10983014
f675344d-89f0-4b5d-a6c0-0bee177ecdc4	SRR10983013
