sample_id	NCBI_accession
cd29cc26-2dc3-4f9c-9fcf-03b781dc82c5	SRR19064454
39e4e6af-5a67-4de0-9434-b3b60804c7dd	SRR19064453
dbc1efce-82ad-4421-ae2c-661c462eee82	SRR19064653
831b6f37-6899-4556-b7b7-ed6e5dffa76e	SRR19064624
d75c0e0d-adb0-4b14-923f-62d3ad37925f	SRR19064809
1cb5c0ef-6c05-4893-a88b-32c1428ad87f	SRR19064762
4d0e5239-2792-4f2f-b592-462b0e6a729d	SRR19064747
813193d9-6d89-43ed-a033-b4505ce553db	SRR19064990
9468d192-28eb-4600-95cf-858868593f08	SRR19064705
42823c11-0cec-400e-bdea-9fa2c28acb34	SRR19064946
3d63dddc-891e-4bd1-a2b4-8e7349a22542	SRR19064391
6c2eee83-3a75-451b-91fc-a02bd7a6f536	SRR19064379
2cb34e38-8f2b-492a-b81f-fd5532004b5d	SRR19064701
98a103b1-38c7-49f2-9c63-7fcd95f11140	SRR19064690
406fcdfe-0452-42ab-ae69-523d10e05231	SRR19064450
3b5f97df-0bbf-4970-8b3f-4d2f2cc602e1	SRR19064439
74db035b-58c1-4d5d-8c63-404ff61ca16f	SRR19064931
31891e3e-e34b-4784-9131-4a196c9b88d4	SRR19064920
26582874-7784-4f03-8de9-a0a9c0026c63	SRR19064675
f3f4c830-78ee-411c-88a6-b6294392fd81	SRR19064664
c51304f4-1fb4-454e-b090-cd09b54f4703	SRR19064652
a60fb94e-f87c-46d8-9670-551033093f25	SRR19064915
d550739f-9ac1-49e6-b9fb-864d3e21ac75	SRR19064904
9c259fdc-4841-4463-9588-9b7cd1734e63	SRR19064893
76bf4ffb-28f0-4dee-beee-dbba633040d4	SRR19064882
0ee55b64-d3b7-4b59-bd90-18896621315c	SRR19064870
d601a0d5-bb58-4a2e-b6af-571b261c1d77	SRR19064860
443ca182-1873-4688-897f-c1aa9dea52aa	SRR19064428
0a634607-7f78-40b9-8d41-145986073b31	SRR19064416
0affe0d6-ceeb-4c53-8a74-92a28dd6f088	SRR19064635
d7a96b06-d517-4e39-b522-6576496ed536	SRR19064623
85b2037b-04cd-4adc-8060-190d07420cae	SRR19064403
f31965e6-2f66-4c1a-a62e-b75bcc038b81	SRR19064393
847079e2-af34-4486-bae9-977c40e89dc9	SRR19064610
6a08f900-f819-419c-b3ee-b5a632172ffa	SRR19064600
d85840f9-596b-485f-a13e-a888e37d293c	SRR19064842
0b17025a-35e1-49cf-be28-4b1065fd5c2c	SRR19064832
523e3f88-4262-4a23-8b52-ba6eaab2e30e	SRR19064820
04e78d2e-f20e-44c8-b37f-57972264f965	SRR19064599
ae1beb5d-6d04-44f5-b338-17472110b043	SRR19064588
581231d2-2913-4e21-8147-0f45e03bfffe	SRR19064579
afb73b27-f584-4e2c-9a68-19f174853f65	SRR19064798
659d3df5-1bb7-4552-863a-2c03412db974	SRR19064365
079d87f0-c1aa-4298-86dc-c082bce0dbc7	SRR19064355
45a95740-780f-4c29-9388-19731a623cc2	SRR19064787
c36771c2-e952-42f2-99ae-5564ca0d4a22	SRR19064775
74d3ae38-1562-47ca-ae7a-7d256420e119	SRR19064574
aad62b55-78c3-4e21-9919-72be016fa31e	SRR19064562
63fa0407-3e62-458e-a960-a2d5abc80e9b	SRR19064530
c3c8a446-f9f8-4c8b-a5b2-27b164adcd7c	SRR19064519
ca38df87-6b7a-4ea1-ad52-db5b8cdb6b73	SRR19064761
71770165-e111-4fe3-9cb8-cb8dfc9cb040	SRR19065038
1ac4c926-8b7d-439c-8035-7d21b6b25eb5	SRR19064338
783932ca-4b24-4208-8482-9da3a7162a79	SRR19064557
4a3d3af8-b17e-4cdd-abd0-0705e2fdc655	SRR19064546
630731a7-1d82-4e64-8d53-c99f80a6dc81	SRR19064513
10b8ca48-3aef-4d27-a76e-df749f92d4ff	SRR19064502
da402619-8434-4423-9ecb-2b2727073292	SRR19065033
7e512907-5c8b-4998-9a37-99c2f372ef0b	SRR19065022
d2eca9ca-5a4f-4f13-8dc1-b9dd712ac8fb	SRR19064322
774b2f8e-16a3-4ec3-a3ea-5c4e3292756b	SRR19064746
89490b7a-4758-4679-9a7f-16480426dc65	SRR19064969
4a2d779d-54b5-473a-86c6-d27a75f75ecf	SRR19064958
708d9c4e-59c1-4086-837f-95bd3028a7bd	SRR19064485
9251a6d0-56f5-44c6-92e1-6200de83c094	SRR19065016
07480bf6-d8ac-4735-816b-d6017b96db0e	SRR19065005
fe9b9a80-a9ee-4545-a73e-f38aaeee36c0	SRR19064741
1c1041a0-f683-41c0-8fbd-51f8909cd5b9	SRR19064730
b88d9774-40e0-4084-862c-abf446413f54	SRR19064471
03275c52-f5bb-4039-bb21-a34f438db178	SRR19064460
bb2de24d-b309-4d7d-be85-4f201e4645cb	SRR19064989
bd60d85e-dd6f-4a5a-baf1-1b65bcfa65c6	SRR19064978
1a476322-0f7d-4f26-8c56-9e3787f143df	SRR19064715
166e9f5d-d2b0-40ea-b2ca-cc225664b842	SRR19064709
e0835910-c82a-4c25-bf79-cd251a0fdaf1	SRR19064708
2db8bece-86c7-46f1-9406-677f28bf9a1a	SRR19064707
66a66ba3-cf43-457a-89d9-ee77a5728a86	SRR19064706
d79848a4-0338-45ca-ba56-9a3baa252430	SRR19064704
b0200464-888a-4e93-9218-6dc18b8e7dd1	SRR19064703
33a0f809-e04a-495e-af5f-b2f9e3d2ced7	SRR19064702
36c388a5-9a10-4253-82b2-f1a9dd6a3b51	SRR19064956
cfcf82b7-2ec7-4951-bb2e-ab0ad7e0bc86	SRR19064955
dd0bf454-bb52-4507-891f-312a88430fa1	SRR19064954
2607e691-6d2a-4d69-a19b-ba6d72d1c8ea	SRR19064953
07fed992-4312-4aa2-9110-bc71214c0b44	SRR19064951
c26c5675-311e-4730-91cb-9968c32f6adc	SRR19064950
6b288313-a53e-4e01-aa4b-446534ab4fc0	SRR19064949
b04e2052-fa36-4e1f-b30f-affbced1fc17	SRR19064952
cb723d0d-bea6-4ae6-84e3-e9c64f7cb1d2	SRR19064948
b8e8f074-c76b-4406-b861-9a43a6cacdd3	SRR19064947
eba5889c-42de-4e22-adf4-3bd1ef36aef8	SRR19064945
469537b8-f334-4f90-a635-4bdf899656d8	SRR19064943
26cc10ed-79f4-44dd-a3fb-43307ab6345d	SRR19064942
e1727b8a-c132-4e3c-9e1e-876487d591a0	SRR19064941
b14f7311-5501-4223-8e98-33ec6fa5520a	SRR19064944
fd661fcf-92b2-4e1f-9161-d924be4f74ef	SRR19064940
bc14d10c-e270-4edb-a16f-bbfc386f833c	SRR19064939
dcde57da-5145-4d47-a178-5ebf7607f05f	SRR19064938
9a8be6b1-cc71-4e0d-917d-d631e7e5c3a6	SRR19064937
481e8588-07e9-4972-8133-dbb80eedf983	SRR19064935
302b6c6e-26d9-4f54-94b1-335042f42914	SRR19064390
8030c89c-674c-411d-8d33-4016561749f8	SRR19064388
87686da0-f99d-4119-9c57-49016284d0c7	SRR19064387
0f14f22d-e26a-45d1-874b-9ceb0b12bda8	SRR19064386
750a04d7-40cf-4b56-acf0-b16d0db753dc	SRR19064389
cf4f7130-0595-470a-bf2e-78a875a44fc2	SRR19064385
eb159ced-ab41-423a-af03-a4ff0578d755	SRR19064384
16f868c2-820e-4148-bdae-04dcd4a878ea	SRR19064383
dfe81a51-d7fe-4c6f-9df5-c0b2db19dca2	SRR19064382
e9cca421-e7f1-4164-bc26-66514c2825c5	SRR19064380
47c84933-14b9-4859-b7c2-94f7f6b82c40	SRR19064378
7e60f848-bc2e-4f24-896e-1f1957bd8671	SRR19064381
8676be6a-8203-4e63-a548-2abfd86c3911	SRR19064377
98210bd8-77e3-4b3b-9cb0-082354bd546d	SRR19064376
681fa1e7-ad25-45cb-ad88-b351bbc28bd3	SRR19064375
2ebda45f-109e-476b-b6fe-3329daafdf03	SRR19064374
003328ec-af4f-486b-8100-d2612e49f451	SRR19064372
fa9d4d54-255f-449f-9c35-65b57ce9c25f	SRR19064371
23dc52af-02ac-440f-97c6-71dcac82c803	SRR19064370
f5482a53-79d7-434f-a94c-f98e277dae94	SRR19064373
380666e4-4469-4546-acaf-a72ed95fbec5	SRR19064700
5fdc1450-e8e3-45e2-8ebd-1e1dfc971e27	SRR19064699
b7e22a27-a8a3-468e-a6f2-d0c0b7db5d5f	SRR19064698
992ba658-5a2b-4bc0-a641-1f5dd4bd04a3	SRR19064696
dbc4c4b8-b68b-4487-875d-0ac4fca6e2ba	SRR19064695
dc71549f-6af4-421b-9201-c0fc564513ab	SRR19064694
5d0d384d-b3cd-4778-b06a-3af33e7416a3	SRR19064697
3bc6f3cc-49af-4d91-a7e5-b00baf23329c	SRR19064693
619df04e-29c3-438c-a8bd-379771e691b4	SRR19064692
38522a97-52b9-4acf-b17c-9988d839bb36	SRR19064691
3d24f20d-ee5d-4d42-917a-6043ebc928d6	SRR19064689
ef53254c-4d66-4273-8fe9-1fdcb8db0e87	SRR19064688
648f77f9-906c-4935-a21d-298db21fe21e	SRR19064687
cd825171-50a7-410f-b63b-b69238e900bc	SRR19064686
33146a3f-d214-48c3-9f9c-557132d8c027	SRR19064685
ccfd4cec-220d-48b3-a430-de1b8cb5ff3e	SRR19064684
3d3eaf66-a088-43cc-854a-69d8fd20f12e	SRR19064683
72475128-c78c-479d-bfc2-417735ce7817	SRR19064682
af3d7efb-4968-463c-bf2b-f0e69c4513e7	SRR19064452
7cbfa825-e004-4166-b0fd-eb757bba81df	SRR19064451
7ac8be7e-0ade-4807-8d96-840d11656bd0	SRR19064449
da3bd88f-c992-43cf-9cec-be30c5d0133d	SRR19064448
bc883539-45b2-4d2d-bc35-d9f7eddb34f7	SRR19064447
652562f9-c650-46c1-93e2-b4519a858eac	SRR19064446
c34a8e74-64c1-421f-9d61-c88486146199	SRR19064445
c98c2ab8-5387-429a-a746-e8a0c4ca4167	SRR19064444
f84b5d59-6bd4-4768-8c1d-288e23a97579	SRR19064443
40aae460-27c1-4138-b0e0-b6df2fa5fb4b	SRR19064442
7bdca74a-4572-41ff-b314-2416fa254603	SRR19064441
8745569e-35ab-451d-8116-db426fbaba31	SRR19064440
c30b362c-4d47-4956-b12e-079b21497ba8	SRR19064438
66dd0b52-c0e3-4a75-af79-3bf389cf2b42	SRR19064437
8d05880f-fc41-4071-ae34-a06ed3bc2a7e	SRR19064436
120e6560-c4d8-4371-9bd8-e4800628221b	SRR19064435
b0be5985-b4e5-4794-b4f1-fe7e9f030c4d	SRR19064434
3200b4db-bf1f-4564-9314-5ecd35ee129d	SRR19064433
cbfdfd63-87be-458f-807f-1b248d064a70	SRR19064936
8a3da976-05ed-4dfd-82c5-652b74d63b8d	SRR19064934
dc640ce4-6875-4d58-b0d4-4655562b2c01	SRR19064933
128696fe-3a3e-4c39-874f-341119c7f8c6	SRR19064932
830e0f93-d2d1-4228-8904-2d41cd760be4	SRR19064930
8280682b-4f73-4b48-8e7a-ec1bac30fea6	SRR19064929
e546ef38-172a-4309-b9b2-35d0b99bf418	SRR19064928
2357a5a5-8380-45ee-93d4-6539c4f319e0	SRR19064927
565b23c6-2cdd-4414-b536-da7aa6a1517f	SRR19064926
3944dcc2-572d-4e54-82b1-e7100d63512d	SRR19064925
6f048e8c-6855-4084-8542-a3e6976160a9	SRR19064924
cfd52666-98a5-49d1-8674-9888105860a3	SRR19064923
3f48f20d-22b3-49cf-ab6f-23c84b05f363	SRR19064922
12ffe61c-6d3d-4b88-9204-26aba958dd5d	SRR19064921
92ee51c8-b2f8-4a5f-a6cf-c4dae2496869	SRR19064919
4b78d880-42e4-4e63-a0ac-e311aeac9974	SRR19064918
2dc4a917-1276-468b-85f5-f35a0045b23a	SRR19064917
625efcdb-904f-429c-87d5-40818bbdea63	SRR19064916
874af547-f4d8-4ad1-b7e7-5e82f8b5d114	SRR19064681
1690ce17-8c39-4460-a683-76f317c3a48c	SRR19064680
eabdbc56-f001-4046-af18-a0c55197278b	SRR19064679
6b85235d-dd88-4f87-aaba-c969ffa97829	SRR19064678
71236e19-4744-4709-9f5d-d9a19d538468	SRR19064677
d3801b26-1ec3-4d37-9e6c-aff7c585e699	SRR19064676
8682b1e9-852e-490b-bb31-93583fab2edc	SRR19064674
c75212ad-61d0-475a-ab14-43ae47a7eb90	SRR19064673
047ab526-9780-4b89-bdc3-8ca847db7810	SRR19064672
87b49101-fd3f-4a06-8517-eeeab8bd1324	SRR19064671
1493309b-b47b-4e77-afbd-8c104d55050e	SRR19064670
0808b05a-290d-4c43-888f-60c098d598f0	SRR19064669
135a3bd0-fdae-450d-959f-9cc83d1420b4	SRR19064668
e8f45e82-6070-4ebc-b8b7-249ba91349ae	SRR19064667
0fa09ae3-3aec-414e-8ce0-17f687cc7f8d	SRR19064666
2a6d8472-ea7e-4737-aff9-e127cfef2556	SRR19064665
b6ed1d32-e3c5-4bd4-a2a3-2f27d8c45cfd	SRR19064663
7397e133-d846-411f-9e9b-a3b1bb4da839	SRR19064662
7499be66-7db3-46fb-99cc-347cd8600fe8	SRR19064661
f28fca4d-4dfc-4dcd-9853-6b3898e61a0a	SRR19064660
e47cd2b1-e9e5-4e99-954b-08209aa7f455	SRR19064659
e95499cd-0aa3-44a1-aa79-e1dd3c72bcf8	SRR19064658
edef727d-2ab1-4497-ba12-d9c1842033d7	SRR19064657
c1250982-43f5-42f5-a52d-cf07e6cd5782	SRR19064656
a20bc61e-7b7f-45a1-a6e7-b93f3aede45b	SRR19064655
a8753666-bf71-413b-9c7e-0b6c963d7604	SRR19064654
351ef501-690f-4585-88c1-b7b8a27ca62a	SRR19064651
49fb2785-c9b2-4276-a616-097df1d36dc5	SRR19064650
b4001959-f0ff-4076-92fe-85e43da2e4b1	SRR19064649
204d7e51-a0dc-40da-ab97-4547c93dc2a7	SRR19064648
a7643468-53c7-43e8-8e51-188562f0bd66	SRR19064647
