sample_id	NCBI_accession
0807eb2a-a15e-4647-8e19-2600d8fda378	SRR25109817
e0fbb54f-0249-4917-a4d7-bd68acb89c62	SRR25109816
25172837-2849-4db3-be91-d54d6a815d00	SRR25109805
39ddb5e7-97f6-4d3c-812b-9653b03f99b3	SRR25109800
7b152a7d-e244-4e2b-b924-7195c7ecfb10	SRR25109799
dd30f93b-7999-47a4-93fb-21971b899939	SRR25109798
1406666f-04a8-43c9-983b-4ed62fd6da4a	SRR25109797
fe3de3ca-3a14-4bd8-ae1c-0dad69edc9cd	SRR25109796
8707e374-5ddb-4220-8cbf-364b8b0e7be1	SRR25109795
22848a9c-66a6-4993-9058-cb6464edb42f	SRR25109794
08e2b754-78e2-4cb4-8ff2-95fd7b0ff44a	SRR25109815
9baef0b2-93d2-4a40-8082-d357c7f8156a	SRR25109814
09a9303d-d87d-4556-9672-04cbbcaf3d37	SRR25109813
ac9f3532-90d8-412c-9c80-491037f0bcc2	SRR25109812
eda61949-02dc-40ae-8dbe-bea2add85a52	SRR25109811
1f007260-be6c-4a21-800a-ad9c36129a0d	SRR25109810
e47a59bb-443a-405f-9c5d-02659d80e9e5	SRR25109809
b3eaf3ab-43ef-4830-ab6d-12bafed3c61e	SRR25109808
28f7352f-fe23-4003-93e1-41f4fedc6232	SRR25109807
b07e2362-5851-4181-ba9a-15d9109ee4dd	SRR25109806
677be4e3-722b-4e43-bd5a-36d8fbed6f86	SRR25109804
0c817272-f873-475f-a401-dfe46a679a9f	SRR25109803
7a3945d9-21bb-434a-9a4e-bfcdeb6194de	SRR25109802
56aa2ad5-007d-407c-a644-48aac1e9a8f0	SRR25109801
