study_name	BioProject	sample_id	NCBI_accession	uuid
BoktorJC_2023	PRJEB53403	SAMEA110061210	ERR9830179	cd4559d4-3f7a-4463-a07c-d9e499b282bd
BoktorJC_2023	PRJEB53403	SAMEA110061211	ERR9830180	01794762-d90d-456d-a575-f6445983e0a9
BoktorJC_2023	PRJEB53403	SAMEA110061212	ERR9830181	e24d3ce8-8660-4f8d-aca8-07189199e0e1
BoktorJC_2023	PRJEB53403	SAMEA110061213	ERR9830182	15ccbc37-2dcf-4c90-89e2-192d46c1fc78
BoktorJC_2023	PRJEB53403	SAMEA110061214	ERR9830183	e3a55567-afd0-40d8-9f0a-8f1594b3a733
BoktorJC_2023	PRJEB53403	SAMEA110061215	ERR9830184	d3358e93-8b9a-4051-9c7f-48193502add8
BoktorJC_2023	PRJEB53403	SAMEA110061216	ERR9830185	b9aab66a-e1ae-4fa1-82ac-9506f148ab84
BoktorJC_2023	PRJEB53403	SAMEA110061217	ERR9830186	c875bf46-5de8-479b-b781-d380b6112412
BoktorJC_2023	PRJEB53403	SAMEA110061218	ERR9830187	4c54dd70-68fb-4480-ba0c-65fb05f1cd77
BoktorJC_2023	PRJEB53403	SAMEA110061219	ERR9830188	19b6aee0-825d-4517-a8e0-5e981882c937
BoktorJC_2023	PRJEB53403	SAMEA110061220	ERR9830189	8bea90c1-3461-4629-ae77-ff4379bfdcb4
BoktorJC_2023	PRJEB53403	SAMEA110061221	ERR9830190	94990fdc-5680-4b06-8810-d58dfe7d42f8
BoktorJC_2023	PRJEB53403	SAMEA110061222	ERR9830191	79da540e-399c-4fe9-a959-10e388cb0088
BoktorJC_2023	PRJEB53403	SAMEA110061223	ERR9830192	f81ec8de-e996-4455-86c2-6c9864d3fc78
BoktorJC_2023	PRJEB53403	SAMEA110061224	ERR9830193	316eef9b-6073-46b9-b1d7-f50e379ae5bf
BoktorJC_2023	PRJEB53403	SAMEA110061225	ERR9830194	8e05d334-f488-4bc6-a6f8-02e6e25a0ab7
BoktorJC_2023	PRJEB53403	SAMEA110061226	ERR9830195	bb6c9f64-9747-4d57-974b-ba81dbb67389
BoktorJC_2023	PRJEB53403	SAMEA110061227	ERR9830196	ae0da424-21af-4dc0-9ee1-ec17cec809e9
BoktorJC_2023	PRJEB53403	SAMEA110061228	ERR9830197	d729437b-8788-4d15-92b9-aba27f56887d
BoktorJC_2023	PRJEB53403	SAMEA110061229	ERR9830198	1827d8d3-b7fb-4c3f-8852-0c805072e469
BoktorJC_2023	PRJEB53403	SAMEA110061230	ERR9830199	c2872b30-bb6d-4e0a-a5ad-e36de091c381
BoktorJC_2023	PRJEB53403	SAMEA110061231	ERR9830200	8faf5f5b-191d-4eac-bce6-76594777b1a1
BoktorJC_2023	PRJEB53403	SAMEA110061232	ERR9830201	ef025415-0fc9-4eba-bd61-412eb5b62ad8
BoktorJC_2023	PRJEB53403	SAMEA110061233	ERR9830202	0983db79-0e6a-4a13-b3d5-29e0a929786c
BoktorJC_2023	PRJEB53403	SAMEA110061234	ERR9830203	755d1cc8-f69e-420c-ac75-06a528b956ad
BoktorJC_2023	PRJEB53403	SAMEA110061235	ERR9830204	d6f6e9ea-a06c-4ffe-ab8e-5dead4236251
BoktorJC_2023	PRJEB53403	SAMEA110061236	ERR9830205	b66696b3-cf03-4327-a63a-1de17e27ff5b
BoktorJC_2023	PRJEB53403	SAMEA110061237	ERR9830206	8c96bf46-d6ed-4367-b39a-7f619d9cbbb0
BoktorJC_2023	PRJEB53403	SAMEA110061238	ERR9830207	11e56b2e-2481-4d09-b3ce-03b2510b2909
BoktorJC_2023	PRJEB53403	SAMEA110061239	ERR9830208	e954bd97-52e0-498b-aa75-000004756dc5
BoktorJC_2023	PRJEB53403	SAMEA110061240	ERR9830209	7095f750-1e83-4f8f-ba6f-aee4f2abd013
BoktorJC_2023	PRJEB53403	SAMEA110061241	ERR9830210	5b3b26ec-eb5a-4516-b83f-9a1aa513a259
BoktorJC_2023	PRJEB53403	SAMEA110061242	ERR9830211	48bf30e1-7d23-4aad-87cb-32e05a4e01f4
BoktorJC_2023	PRJEB53403	SAMEA110061243	ERR9830212	908d50fc-5d74-4123-a7b8-3ae19e64bc9c
BoktorJC_2023	PRJEB53403	SAMEA110061244	ERR9830213	9a849d35-efc3-4ccf-b002-f84920e3c620
BoktorJC_2023	PRJEB53403	SAMEA110061245	ERR9830214	b30294e6-9f15-4bb2-86e9-3fc6e3e33eb9
BoktorJC_2023	PRJEB53403	SAMEA110061246	ERR9830215	4512ab2c-9c9d-4448-ab9b-6e4f232ccc30
BoktorJC_2023	PRJEB53403	SAMEA110061247	ERR9830216	0b26c5d9-5347-4bd6-bce0-5e820ee6af12
BoktorJC_2023	PRJEB53403	SAMEA110061248	ERR9830217	d75e9b02-13a2-459c-862d-07a6e93e0d66
BoktorJC_2023	PRJEB53403	SAMEA110061249	ERR9830218	25ea624b-8cd9-4553-b379-727c90b56752
BoktorJC_2023	PRJEB53403	SAMEA110061250	ERR9830219	061c4c2a-972b-4c43-a5d4-421942d1b657
BoktorJC_2023	PRJEB53403	SAMEA110061251	ERR9830220	c2a42390-ccbf-4969-8516-abbefef7cef6
BoktorJC_2023	PRJEB53403	SAMEA110061252	ERR9830221	ad9274a1-f8b2-4b71-b17b-6e6e0072a392
BoktorJC_2023	PRJEB53403	SAMEA110061253	ERR9830222	f9e4fb24-372a-4c50-806c-95a8f08bb9e1
BoktorJC_2023	PRJEB53403	SAMEA110061254	ERR9830223	28ff4f45-bd08-474f-b092-dfedfbe5e714
BoktorJC_2023	PRJEB53403	SAMEA110061255	ERR9830224	1a623e5c-1bf5-4830-9848-4d0491e09b3f
BoktorJC_2023	PRJEB53403	SAMEA110061256	ERR9830225	91bbe12a-2ed6-40da-97b4-5fadd2771c7b
BoktorJC_2023	PRJEB53403	SAMEA110061257	ERR9830226	9af3a8a3-b124-460d-8f04-52b83001ca43
BoktorJC_2023	PRJEB53403	SAMEA110061258	ERR9830227	41c42260-3f93-4238-9f68-cc8054e1cc7c
BoktorJC_2023	PRJEB53403	SAMEA110061259	ERR9830228	3cf2f102-4dd0-4028-8b83-40c41e6d44be
BoktorJC_2023	PRJEB53403	SAMEA110061260	ERR9830229	58b3f384-6032-48bd-a010-458eeebd2a52
BoktorJC_2023	PRJEB53403	SAMEA110061261	ERR9830230	52499b78-baca-40b6-8c06-abffe54e312c
BoktorJC_2023	PRJEB53403	SAMEA110061262	ERR9830231	981a8d92-0c2f-4707-9d01-bf591b58fb1e
BoktorJC_2023	PRJEB53403	SAMEA110061263	ERR9830232	a4519c6b-3e88-4379-9a7b-e652d358a3ab
BoktorJC_2023	PRJEB53403	SAMEA110061264	ERR9830233	f6032ddd-c42c-475f-a82a-facfd7dc69e5
BoktorJC_2023	PRJEB53403	SAMEA110061265	ERR9830234	84f47df7-1857-4d98-bec0-1fa3b94dd360
BoktorJC_2023	PRJEB53403	SAMEA110061266	ERR9830235	921c33dd-d026-4456-9acf-b605013a42d4
BoktorJC_2023	PRJEB53403	SAMEA110061267	ERR9830236	49507f7a-96ad-463b-b09d-4fee1d92c35e
BoktorJC_2023	PRJEB53403	SAMEA110061268	ERR9830237	ba5c35fc-170d-44d7-91c2-db12d103f866
BoktorJC_2023	PRJEB53403	SAMEA110061269	ERR9830238	eedf50ca-7339-429f-b449-acdc5cee319d
BoktorJC_2023	PRJEB53403	SAMEA110061270	ERR9830239	03ae6109-c53d-4049-9430-8d0f60422206
BoktorJC_2023	PRJEB53403	SAMEA110061271	ERR9830240	29943753-525d-4209-99ba-57986d5de7f3
BoktorJC_2023	PRJEB53403	SAMEA110061272	ERR9830241	00d9d41f-89d1-49d9-8882-75b4cfae0283
BoktorJC_2023	PRJEB53403	SAMEA110061273	ERR9830242	9b0e2bd7-dc2a-431a-b471-c6428251cfb7
BoktorJC_2023	PRJEB53403	SAMEA110061274	ERR9830243	5fe1d91a-f35a-42e5-8a7e-91218e51e5f1
BoktorJC_2023	PRJEB53403	SAMEA110061275	ERR9830244	363330e5-0bb2-422e-bafb-904518921f2c
BoktorJC_2023	PRJEB53403	SAMEA110061276	ERR9830245	461b8336-dc7d-43c7-8079-ee0d3dc88993
BoktorJC_2023	PRJEB53403	SAMEA110061277	ERR9830246	23164bd2-976a-4a3d-914f-9dee3119dafd
BoktorJC_2023	PRJEB53403	SAMEA110061278	ERR9830247	5566e27f-4d62-4c2b-9273-f9400515dc51
BoktorJC_2023	PRJEB53403	SAMEA110061279	ERR9830248	047124dc-0808-4dfb-8cfc-2822abb1be5f
BoktorJC_2023	PRJEB53403	SAMEA110061280	ERR9830249	17708036-78f2-4bfb-9971-31dcae042ae1
BoktorJC_2023	PRJEB53403	SAMEA110061281	ERR9830250	70e78643-88e8-4330-9750-ea4d7631541b
BoktorJC_2023	PRJEB53403	SAMEA110061282	ERR9830251	f6d74138-1574-429a-a93f-6cb8d6904a10
BoktorJC_2023	PRJEB53403	SAMEA110061283	ERR9830252	14483d8e-9edb-4a0e-bb71-4b2a74ccda79
BoktorJC_2023	PRJEB53403	SAMEA110061284	ERR9830253	f198e80b-4b33-4c72-8e29-1e8cf88a21ab
BoktorJC_2023	PRJEB53403	SAMEA110061285	ERR9830254	3306da51-9ef2-448e-bfcf-e40602fa3ce1
BoktorJC_2023	PRJEB53403	SAMEA110061286	ERR9830255	d7e03560-2593-4daa-ad51-9f10111e4e0f
BoktorJC_2023	PRJEB53403	SAMEA110061287	ERR9830256	00e4e1b4-e432-4bef-bd58-9b2f7b96c2db
BoktorJC_2023	PRJEB53403	SAMEA110061288	ERR9830257	c1e7970a-bafb-458a-9742-a08c9f2ee52a
BoktorJC_2023	PRJEB53403	SAMEA110061289	ERR9830258	b105617a-077e-4d72-93c8-07581d9a05b8
BoktorJC_2023	PRJEB53403	SAMEA110061290	ERR9830259	49e7b59f-5af0-4a8a-b4b8-6ba023bb00b5
BoktorJC_2023	PRJEB53403	SAMEA110061291	ERR9830260	78ffda10-966a-4593-ba38-9e301bb7daf1
BoktorJC_2023	PRJEB53403	SAMEA110061292	ERR9830261	0a21bd4e-00ce-41c6-852f-ca94f4f13e45
BoktorJC_2023	PRJEB53403	SAMEA110061293	ERR9830262	1c420b27-e791-4883-aaff-488c617d0a7a
BoktorJC_2023	PRJEB53403	SAMEA110061294	ERR9830263	b07271a7-06a8-440c-ba11-8ed3273885f5
BoktorJC_2023	PRJEB53403	SAMEA110061295	ERR9830264	eeb8d5a1-7793-410d-9bfe-4dd52237713b
BoktorJC_2023	PRJEB53403	SAMEA110061296	ERR9830265	7c24c043-a20c-4c1c-92ab-8a5e52aa03b9
BoktorJC_2023	PRJEB53403	SAMEA110061297	ERR9830266	0eb57bf1-53c5-460d-90ed-0e9972318000
BoktorJC_2023	PRJEB53403	SAMEA110061298	ERR9830267	e96f4523-95c5-489a-87b7-6f87fbdf286c
BoktorJC_2023	PRJEB53403	SAMEA110061299	ERR9830268	bfe7511e-fedd-4d2d-a8e0-bf53819311a5
BoktorJC_2023	PRJEB53403	SAMEA110061300	ERR9830269	32831da5-4b4b-466c-8b83-a68f7b48776e
BoktorJC_2023	PRJEB53403	SAMEA110061301	ERR9830270	09c71823-52ff-40bd-8dfb-d8d703cfdd8a
BoktorJC_2023	PRJEB53403	SAMEA110061302	ERR9830271	b48a83ae-83d0-4d9e-9610-e073e12762cd
BoktorJC_2023	PRJEB53403	SAMEA110061303	ERR9830272	ddb8c8a6-258c-4cfa-851e-67b338981a77
BoktorJC_2023	PRJEB53403	SAMEA110061304	ERR9830273	061e6f66-3d5e-4241-88d3-dabf1df5b7ee
BoktorJC_2023	PRJEB53403	SAMEA110061305	ERR9830274	0661eb49-37d7-4bd2-a3a2-a816511b5a2a
BoktorJC_2023	PRJEB53403	SAMEA110061306	ERR9830275	9abebe27-9033-428e-be70-dc8abcbf5eba
BoktorJC_2023	PRJEB53403	SAMEA110061307	ERR9830276	ffe9146b-cf91-442a-9dac-438ea4006f0d
BoktorJC_2023	PRJEB53403	SAMEA110061308	ERR9830277	37b422ba-7abe-4793-b381-fac0fc868685
BoktorJC_2023	PRJEB53403	SAMEA110061309	ERR9830278	ced04a98-c1a3-40ef-b58c-5c870166729d
BoktorJC_2023	PRJEB53403	SAMEA110061310	ERR9830279	8ddecd96-3fc8-4a31-8b75-0ec02faa918e
