study_name	BioProject	sample_id	NCBI_accession	uuid
DuruIC_2024	PRJEB59350	SAMEA112439700	ERR10818363	31e27166-8acc-4c5f-96c1-9e5c797ab54f
DuruIC_2024	PRJEB59350	SAMEA112439701	ERR10818366	1b98eae2-7f57-4c6e-b23f-ac49e15c603f
DuruIC_2024	PRJEB59350	SAMEA112439702	ERR10818373	f468d88c-dfd9-4dde-9911-f5e19c4efa11
DuruIC_2024	PRJEB59350	SAMEA112439703	ERR10818476	5585f31a-f147-4e15-88c5-0258c8a18c3f
DuruIC_2024	PRJEB59350	SAMEA112439704	ERR10818516	7e8280a1-2bbd-4de9-abd6-372c437dde05
DuruIC_2024	PRJEB59350	SAMEA112439705	ERR10818549	728c76b4-aa3b-46fe-8ad9-508894fbad83
DuruIC_2024	PRJEB59350	SAMEA112439706	ERR10818576	d62c3754-2ca6-4908-bc00-6808f6bf4cd0
DuruIC_2024	PRJEB59350	SAMEA112439707	ERR10818579	9dd7f155-4302-4a46-80c4-a9861c8c2ba9
DuruIC_2024	PRJEB59350	SAMEA112439708	ERR10818583	d49d68ef-81f0-4f5c-b411-53444f25a88a
DuruIC_2024	PRJEB59350	SAMEA112439709	ERR10818659	64558e1e-37bc-4124-92be-7a421b73cd2b
DuruIC_2024	PRJEB59350	SAMEA112439710	ERR10818682	a60ef13c-4fc4-4349-85e0-5bdbb30b3ec1
DuruIC_2024	PRJEB59350	SAMEA112439711	ERR10818713	e1d8cc1c-009f-4d9f-a438-3f520cd39c74
DuruIC_2024	PRJEB59350	SAMEA112439712	ERR10818779	da92783a-4aab-400b-9ae8-eb14755986b1
DuruIC_2024	PRJEB59350	SAMEA112439713	ERR10818795	ff08cbef-2006-4dc3-87ab-1c595f6811cc
DuruIC_2024	PRJEB59350	SAMEA112439714	ERR10818818	a463fe57-7318-4256-916f-be42a010b97b
DuruIC_2024	PRJEB59350	SAMEA112439715	ERR10818858	c1221e01-8228-4650-a4d2-53417a9f4b2b
DuruIC_2024	PRJEB59350	SAMEA112439716	ERR10818884	9e429775-c3b0-43af-a97b-ea0f4910e8c9
DuruIC_2024	PRJEB59350	SAMEA112439717	ERR10818967	2ed0470e-ee35-4785-a250-6a1896ca0708
DuruIC_2024	PRJEB59350	SAMEA112439718	ERR10819021	cbb97e26-1c62-4d05-a5c4-af317fef45c8
DuruIC_2024	PRJEB59350	SAMEA112439720	ERR10819069	a9b765f1-7de6-490d-aad1-a720852f415a
DuruIC_2024	PRJEB59350	SAMEA112439721	ERR10819075	0c11dd26-8d2e-4ff8-88d0-812fbd94ce12
DuruIC_2024	PRJEB59350	SAMEA112439722	ERR10819087	d29d0c2c-aa07-44c2-88a4-2d2753f7e0cf
DuruIC_2024	PRJEB59350	SAMEA112439723	ERR10819109	49acd14f-5326-421d-a539-81250df42851
DuruIC_2024	PRJEB59350	SAMEA112439724	ERR10819113	dda64a70-ebd6-4428-bab7-96217c782ace
DuruIC_2024	PRJEB59350	SAMEA112439725	ERR10819455	5c236872-cf85-4161-b289-30712b007299
DuruIC_2024	PRJEB59350	SAMEA112439726	ERR10820466	672acf51-bbd6-4fb5-93e0-711617d7a544
DuruIC_2024	PRJEB59350	SAMEA112439727	ERR10820583	bd2d97ce-2a7a-44dc-b341-c45544ce3a6d
DuruIC_2024	PRJEB59350	SAMEA112439728	ERR10820585	5eff85ae-cc26-445b-8a33-d560bd262760
DuruIC_2024	PRJEB59350	SAMEA112439729	ERR10820590	aea52c45-d404-4a3c-a25c-83f7d6032d70
DuruIC_2024	PRJEB59350	SAMEA112439730	ERR10820685	c90d8080-38c5-4cb0-8e28-0f6877916a0e
DuruIC_2024	PRJEB59350	SAMEA112439731	ERR10820698	170c12e8-ee77-4cd5-a1cb-a451e59cdfd7
DuruIC_2024	PRJEB59350	SAMEA112439732	ERR10820700	65c9ecf2-658e-4f5d-9583-c8cea9b04877
