study_name	BioProject	sample_id	NCBI_accession	uuid
MaoL_2021	PRJNA588035	SAMN13221582	SRR10403544	dbeae080-3ce6-468f-908d-28aeefa17046
MaoL_2021	PRJNA588035	SAMN13221583	SRR10403543	60083cd7-e3c6-49fe-991c-b8bf1b0b7e36
MaoL_2021	PRJNA588035	SAMN13221584	SRR10403532	037e0ba7-91bd-417f-8e63-6335cc18819c
MaoL_2021	PRJNA588035	SAMN13221585	SRR10403521	7bca4f71-7480-47e2-bbcb-1f827d81711c
MaoL_2021	PRJNA588035	SAMN13221586	SRR10403566	b25b10d6-e12f-40d1-929f-0bf5d0f6afdf
MaoL_2021	PRJNA588035	SAMN13221587	SRR10403555	8ccd3c20-2515-45bb-b086-8a76aef331f8
MaoL_2021	PRJNA588035	SAMN13221588	SRR10403516	9486f806-c039-4e16-b07e-fa35b65c40df
MaoL_2021	PRJNA588035	SAMN13221589	SRR10403505	392c9828-a5d7-4f52-beee-e418172bf885
MaoL_2021	PRJNA588035	SAMN13221590	SRR10403496	8793b1dc-3ba1-4591-82b8-4297adcfa1d7
MaoL_2021	PRJNA588035	SAMN13221591	SRR10403495	ccc61526-0a87-40d2-bbec-253d9a8265f3
MaoL_2021	PRJNA588035	SAMN13221592	SRR10403542	2f9093c7-2002-4341-b51a-4b537c21e449
MaoL_2021	PRJNA588035	SAMN13221593	SRR10403541	bcae181c-1ce5-40a5-a0ed-288a2c010bd3
MaoL_2021	PRJNA588035	SAMN13221594	SRR10403540	8f0926c5-0e99-44df-9873-6fded403605c
MaoL_2021	PRJNA588035	SAMN13221595	SRR10403539	86d2aac6-5f23-4ab2-8f5d-016e679af0fb
MaoL_2021	PRJNA588035	SAMN13221596	SRR10403538	5352d4df-5c6b-4466-a87e-d596d06e6263
MaoL_2021	PRJNA588035	SAMN13221597	SRR10403537	13c81cad-9d6b-43fe-a267-e47d361448af
MaoL_2021	PRJNA588035	SAMN13221598	SRR10403536	64861e2e-9cdc-4456-ae26-aa2563743eab
MaoL_2021	PRJNA588035	SAMN13221599	SRR10403535	04f58bf9-9762-46f0-bd27-cc0d75b896a8
MaoL_2021	PRJNA588035	SAMN13221600	SRR10403534	97bfca5a-8417-4061-8d82-3ad5dd3816f8
MaoL_2021	PRJNA588035	SAMN13221601	SRR10403533	da1f5d3d-b67f-4235-9789-2c741cfe1a0d
MaoL_2021	PRJNA588035	SAMN13221602	SRR10403531	d2d2ebca-10e6-4265-8fa2-26896769cbdb
MaoL_2021	PRJNA588035	SAMN13221603	SRR10403530	1a7df025-8a0d-43e2-ad36-83ebfbd6f509
MaoL_2021	PRJNA588035	SAMN13221604	SRR10403529	98aa6c72-5eaa-4271-8cfb-a2c89978a1a1
MaoL_2021	PRJNA588035	SAMN13221605	SRR10403528	80104ef6-43c7-4aaa-8391-72595c4e01fe
MaoL_2021	PRJNA588035	SAMN13221606	SRR10403527	d9819f28-6ffa-41ff-9597-465eb2106fe4
MaoL_2021	PRJNA588035	SAMN13221607	SRR10403526	2fbbd2ad-1671-48cf-a6fc-1aec26ebe55c
MaoL_2021	PRJNA588035	SAMN13221608	SRR10403525	1561d448-7079-41f2-bdd8-d747986c552e
MaoL_2021	PRJNA588035	SAMN13221609	SRR10403524	0b2d9f38-0cdf-41e8-bd4f-d5be3ae349a1
MaoL_2021	PRJNA588035	SAMN13221610	SRR10403523	dcd7392c-049a-42ff-ae38-3012620885cd
MaoL_2021	PRJNA588035	SAMN13221611	SRR10403522	2a240c47-d912-4806-81fa-1f3c049833c4
MaoL_2021	PRJNA588035	SAMN13221612	SRR10403520	0c842de9-83fd-4c19-a31a-f81cbfff8b58
MaoL_2021	PRJNA588035	SAMN13221613	SRR10403519	e7fc710b-2398-4700-81d8-7e6187f5a939
MaoL_2021	PRJNA588035	SAMN13221614	SRR10403518	529318b0-373b-4e90-bad5-9571690a437f
MaoL_2021	PRJNA588035	SAMN13221615	SRR10403517	250572dd-82fc-4450-bf2b-adba95b196a7
MaoL_2021	PRJNA588035	SAMN13221616	SRR10403572	7a3aac29-27c7-4b03-ae0e-d14dd7756b52
MaoL_2021	PRJNA588035	SAMN13221617	SRR10403571	05b7d918-cf7d-4fbe-9f24-1c4bf8fd9bac
MaoL_2021	PRJNA588035	SAMN13221618	SRR10403570	1b3f210e-a928-4277-b851-96eb54a6d6cb
MaoL_2021	PRJNA588035	SAMN13221619	SRR10403569	f7eae57a-d850-4758-8f3c-10405b138758
MaoL_2021	PRJNA588035	SAMN13221620	SRR10403568	4f2adf25-b443-4da7-9d8d-07265aaca455
MaoL_2021	PRJNA588035	SAMN13221621	SRR10403567	0b0db7b7-c47e-4648-bbff-928029a99513
MaoL_2021	PRJNA588035	SAMN13221622	SRR10403565	20e47ca3-7848-470f-a3b0-0a05a1dc49d5
MaoL_2021	PRJNA588035	SAMN13221623	SRR10403564	d3f3621f-4df1-4215-baf1-e341a06187c8
MaoL_2021	PRJNA588035	SAMN13221624	SRR10403563	f2a38bb9-5d9d-4f0d-b593-96b8c4bcf656
MaoL_2021	PRJNA588035	SAMN13221625	SRR10403562	5474dc82-be93-4197-a4a4-6ee0bce623de
MaoL_2021	PRJNA588035	SAMN13221626	SRR10403561	02673382-07bd-4115-a8ef-96143bc8d36f
MaoL_2021	PRJNA588035	SAMN13221627	SRR10403560	1ad7585e-38a3-4296-8f47-fdd1998f74c9
MaoL_2021	PRJNA588035	SAMN13221628	SRR10403559	b2067545-0af9-4147-b42f-a8fecd0797c7
MaoL_2021	PRJNA588035	SAMN13221629	SRR10403558	a0ec557a-94bb-478e-8adf-ceede3541dc7
MaoL_2021	PRJNA588035	SAMN13221630	SRR10403557	1af1e8cf-617c-40a1-bfcf-ceee39bb176a
MaoL_2021	PRJNA588035	SAMN13221631	SRR10403556	048bdb94-15ba-44a7-b500-af60df3a9399
MaoL_2021	PRJNA588035	SAMN13221632	SRR10403554	2502b076-81d4-447d-8a39-ce192b9cdf46
MaoL_2021	PRJNA588035	SAMN13221633	SRR10403553	acbfaaf6-96a7-40f0-955d-ade00cf9cfd5
MaoL_2021	PRJNA588035	SAMN13221634	SRR10403552	b596ca96-38fd-4421-85c0-ff698f4ef609
MaoL_2021	PRJNA588035	SAMN13221635	SRR10403551	45bb9319-0df6-4316-b35c-961aab935dd7
