study_name	BioProject	sample_id	NCBI_accession	uuid
NishiwakiH_2024	PRJDB15956	SAMD00618036	DRR480283	070a8ccc-f98f-4444-aa1d-81be94af736d
NishiwakiH_2024	PRJDB15956	SAMD00618037	DRR480284	bc3c1b75-071a-42b2-b544-1e142dadc1f6
NishiwakiH_2024	PRJDB15956	SAMD00618038	DRR480285	036af248-c937-4836-83bb-814aee774945
NishiwakiH_2024	PRJDB15956	SAMD00618039	DRR480286	c9aeea6a-a42c-406d-a475-a7db18c08424
NishiwakiH_2024	PRJDB15956	SAMD00618040	DRR480287	43b615dd-9baf-4f2d-9e11-1225b185f102
NishiwakiH_2024	PRJDB15956	SAMD00618041	DRR480288	daab1293-98f3-418f-8d36-ede5d19d4378
NishiwakiH_2024	PRJDB15956	SAMD00618042	DRR480289	8f9ccf90-9ff4-462b-b23c-c3b329135316
NishiwakiH_2024	PRJDB15956	SAMD00618043	DRR480290	12da4414-b682-493a-897e-cf18ad0396a1
NishiwakiH_2024	PRJDB15956	SAMD00618044	DRR480291	69ab5f43-43fe-4639-906c-2a19f017fbfe
NishiwakiH_2024	PRJDB15956	SAMD00618045	DRR480292	cebe8256-e8b2-4621-9a03-330660559228
NishiwakiH_2024	PRJDB15956	SAMD00618046	DRR480293	45c50fbf-b11d-4f56-a539-ef376f3bc6a7
NishiwakiH_2024	PRJDB15956	SAMD00618047	DRR480294	bc99fd76-50cf-4f6e-b259-19f66eff4820
NishiwakiH_2024	PRJDB15956	SAMD00618048	DRR480295	57701dfa-ba8f-4ef7-8863-cb21c57fdd67
NishiwakiH_2024	PRJDB15956	SAMD00618049	DRR480296	98c0cb87-60d6-40d6-b3b8-98392e791a15
NishiwakiH_2024	PRJDB15956	SAMD00618050	DRR480297	f493c682-d86b-4cd8-8ef8-6339e15f5fe3
NishiwakiH_2024	PRJDB15956	SAMD00618051	DRR480298	e4530c44-39e1-46cf-87be-ecc166594209
NishiwakiH_2024	PRJDB15956	SAMD00618052	DRR480299	5876e82e-1020-430a-9ffd-0518c019ff59
NishiwakiH_2024	PRJDB15956	SAMD00618053	DRR480300	a2d39b41-3f09-4049-bbcd-3f37aa4da213
NishiwakiH_2024	PRJDB15956	SAMD00618054	DRR480301	01e88104-5cee-4583-91d1-1dac6de05a40
NishiwakiH_2024	PRJDB15956	SAMD00618055	DRR480302	c38eceb2-eab4-45e4-acf4-cf9c2eeddd13
NishiwakiH_2024	PRJDB15956	SAMD00618056	DRR480303	2d610921-84fd-4710-9b42-014ce253c104
NishiwakiH_2024	PRJDB15956	SAMD00618057	DRR480304	41e7edab-665d-4f4c-a4d3-597d8111f31c
NishiwakiH_2024	PRJDB15956	SAMD00618058	DRR480305	0a903bf8-d6e9-49f1-9e04-8b4abab80c93
NishiwakiH_2024	PRJDB15956	SAMD00618059	DRR480306	6f51a70f-942e-4553-a33c-3281fc29ecd6
NishiwakiH_2024	PRJDB15956	SAMD00618060	DRR480307	664f5a2b-0b26-4da1-9841-1137ccc9d2d6
NishiwakiH_2024	PRJDB15956	SAMD00618061	DRR480308	052fb847-5bd8-40ec-b5c1-922ab41033c1
NishiwakiH_2024	PRJDB15956	SAMD00618062	DRR480309	0e8d9953-866b-47cc-9872-b481892390f0
NishiwakiH_2024	PRJDB15956	SAMD00618063	DRR480310	351d60e6-c7a2-4aec-8d4e-66efc3154bf5
NishiwakiH_2024	PRJDB15956	SAMD00618064	DRR480311	84af2604-ad8a-455b-8eb5-44d080cb616e
NishiwakiH_2024	PRJDB15956	SAMD00618065	DRR480312	8a1d1cf1-3855-4019-b266-a47db3678cf6
NishiwakiH_2024	PRJDB15956	SAMD00618066	DRR480313	95c4b975-ec29-4300-a5e8-75fc335947e0
NishiwakiH_2024	PRJDB15956	SAMD00618067	DRR480314	7db816c8-7528-426e-9cf2-aed375f708c2
NishiwakiH_2024	PRJDB15956	SAMD00618068	DRR480315	e42fce63-d1df-44f0-950e-e2f85a46008b
NishiwakiH_2024	PRJDB15956	SAMD00618069	DRR480316	7cb48b41-86b0-4f21-832b-a63684ee3b21
NishiwakiH_2024	PRJDB15956	SAMD00618070	DRR480317	f0a69fcb-880b-4721-b1b1-9ef64d9a9f51
NishiwakiH_2024	PRJDB15956	SAMD00618071	DRR480318	037d9c8f-0945-422c-98e7-c0e262b54453
