study_name	BioProject	sample_id	NCBI_accession	uuid
WallenZD_2022	PRJNA834801	SAMN28061624	SRR19064454	cd29cc26-2dc3-4f9c-9fcf-03b781dc82c5
WallenZD_2022	PRJNA834801	SAMN28061625	SRR19064453	39e4e6af-5a67-4de0-9434-b3b60804c7dd
WallenZD_2022	PRJNA834801	SAMN28061626	SRR19064653	dbc1efce-82ad-4421-ae2c-661c462eee82
WallenZD_2022	PRJNA834801	SAMN28061627	SRR19064624	831b6f37-6899-4556-b7b7-ed6e5dffa76e
WallenZD_2022	PRJNA834801	SAMN28061628	SRR19064809	d75c0e0d-adb0-4b14-923f-62d3ad37925f
WallenZD_2022	PRJNA834801	SAMN28061629	SRR19064762	1cb5c0ef-6c05-4893-a88b-32c1428ad87f
WallenZD_2022	PRJNA834801	SAMN28061630	SRR19064747	4d0e5239-2792-4f2f-b592-462b0e6a729d
WallenZD_2022	PRJNA834801	SAMN28061631	SRR19064990	813193d9-6d89-43ed-a033-b4505ce553db
WallenZD_2022	PRJNA834801	SAMN28061632	SRR19064705	9468d192-28eb-4600-95cf-858868593f08
WallenZD_2022	PRJNA834801	SAMN28061633	SRR19064946	42823c11-0cec-400e-bdea-9fa2c28acb34
WallenZD_2022	PRJNA834801	SAMN28061634	SRR19064391	3d63dddc-891e-4bd1-a2b4-8e7349a22542
WallenZD_2022	PRJNA834801	SAMN28061635	SRR19064379	6c2eee83-3a75-451b-91fc-a02bd7a6f536
WallenZD_2022	PRJNA834801	SAMN28061636	SRR19064701	2cb34e38-8f2b-492a-b81f-fd5532004b5d
WallenZD_2022	PRJNA834801	SAMN28061637	SRR19064690	98a103b1-38c7-49f2-9c63-7fcd95f11140
WallenZD_2022	PRJNA834801	SAMN28061638	SRR19064450	406fcdfe-0452-42ab-ae69-523d10e05231
WallenZD_2022	PRJNA834801	SAMN28061639	SRR19064439	3b5f97df-0bbf-4970-8b3f-4d2f2cc602e1
WallenZD_2022	PRJNA834801	SAMN28061640	SRR19064931	74db035b-58c1-4d5d-8c63-404ff61ca16f
WallenZD_2022	PRJNA834801	SAMN28061641	SRR19064920	31891e3e-e34b-4784-9131-4a196c9b88d4
WallenZD_2022	PRJNA834801	SAMN28061642	SRR19064675	26582874-7784-4f03-8de9-a0a9c0026c63
WallenZD_2022	PRJNA834801	SAMN28061643	SRR19064664	f3f4c830-78ee-411c-88a6-b6294392fd81
