study_name	BioProject	sample_id	NCBI_accession	uuid
JoS_2022	PRJNA743718	SAMN20058723	SRR15041053	4e136384-2a1c-4547-916b-f408ce3f315a
JoS_2022	PRJNA743718	SAMN20058724	SRR15041052	bd4e1432-b374-4760-9953-7e244370de64
JoS_2022	PRJNA743718	SAMN20058725	SRR15040985	fda6b088-c1da-4e48-a0c5-090c50d0fb21
JoS_2022	PRJNA743718	SAMN20058726	SRR15040974	9db74338-eab4-4173-ba56-a658dca4a1fa
JoS_2022	PRJNA743718	SAMN20058727	SRR15040963	bb35cccd-c986-4793-aa43-8361518f27ae
JoS_2022	PRJNA743718	SAMN20058728	SRR15040952	6e1e76b5-f42d-44d3-ac77-dab6cabc9156
JoS_2022	PRJNA743718	SAMN20058729	SRR15040941	9126f0d4-dd19-4efb-b377-620d1026088f
JoS_2022	PRJNA743718	SAMN20058730	SRR15040930	9717cc7a-905a-4fe2-bbf4-1756f8756965
JoS_2022	PRJNA743718	SAMN20058731	SRR15040919	61584ce5-e405-4726-bedc-a4c9defb53ff
JoS_2022	PRJNA743718	SAMN20058732	SRR15040908	3f19dd23-0fd7-4dbd-a97c-b65227fda53c
JoS_2022	PRJNA743718	SAMN20058733	SRR15041051	2f8bb1fd-9e99-48d5-926c-9969a7588c2d
JoS_2022	PRJNA743718	SAMN20058734	SRR15041040	cd15968d-8292-4b4b-b844-ef3152fb2561
JoS_2022	PRJNA743718	SAMN20058735	SRR15041029	78fca629-cff5-4e0f-a0db-5209397ad303
JoS_2022	PRJNA743718	SAMN20058736	SRR15041018	089984f3-c553-4e42-9147-d101d625319c
JoS_2022	PRJNA743718	SAMN20058737	SRR15041007	de149d3e-902f-49f6-ae9e-dc36444e69d5
JoS_2022	PRJNA743718	SAMN20058738	SRR15040996	d3a4d226-786b-4eee-9202-767702815afc
JoS_2022	PRJNA743718	SAMN20058739	SRR15040989	acfbfbf1-727d-47d5-b25a-525cec2a8e4b
