study_name	BioProject	sample_id	NCBI_accession	uuid
LeeEJ_2024	PRJNA1043247	SAMN38338228	SRR26895054	e54e5a0a-fcd7-409e-b8fd-c49ee8ad5933
LeeEJ_2024	PRJNA1043247	SAMN38338229	SRR26895053	70034ee9-4bb7-4b7f-b538-c84d426be188
LeeEJ_2024	PRJNA1043247	SAMN38338230	SRR26895042	775ca73b-3cfa-4802-8ba3-82944a9eafc0
LeeEJ_2024	PRJNA1043247	SAMN38338231	SRR26895031	ceff9d8d-3de4-4cdf-9793-212ec6f0ee1d
LeeEJ_2024	PRJNA1043247	SAMN38338232	SRR26895024	f0c26de2-4a3d-4cb5-9413-110c38debf26
LeeEJ_2024	PRJNA1043247	SAMN38338233	SRR26895023	c1b49faf-4478-43a0-b2c7-7f75681574c5
LeeEJ_2024	PRJNA1043247	SAMN38338234	SRR26895022	22e7db32-46bc-4e67-87cb-41590012964b
LeeEJ_2024	PRJNA1043247	SAMN38338235	SRR26895021	d00fce73-a6d6-4bdd-bb79-7bfa5102eaf5
LeeEJ_2024	PRJNA1043247	SAMN38338236	SRR26895020	19a798ce-fdf4-49a3-a971-9b4b50054534
LeeEJ_2024	PRJNA1043247	SAMN38338237	SRR26895019	e90b1902-aaf0-407c-8c97-c1a83a6c6936
LeeEJ_2024	PRJNA1043247	SAMN38338238	SRR26895052	295e2512-4812-42d8-8a60-fdac19addbb0
LeeEJ_2024	PRJNA1043247	SAMN38338239	SRR26895051	df884b8b-ccf7-4fc3-bdf9-43488e5f74f3
LeeEJ_2024	PRJNA1043247	SAMN38338240	SRR26895050	bcd36f32-f5b6-4b7c-94ed-157e953127cd
LeeEJ_2024	PRJNA1043247	SAMN38338241	SRR26895049	56fb7aa8-51e8-467a-9635-0e49ccbdafa0
LeeEJ_2024	PRJNA1043247	SAMN38338242	SRR26895048	080617c8-b920-4e6c-84d5-7d2a2d9be36b
LeeEJ_2024	PRJNA1043247	SAMN38338243	SRR26895047	598435b0-083c-4049-8129-83a80afa9125
LeeEJ_2024	PRJNA1043247	SAMN38338244	SRR26895046	d65323c8-065f-4e9b-b4a9-21c2e58e3ac2
LeeEJ_2024	PRJNA1043247	SAMN38338245	SRR26895045	55a2846e-d2b1-40f4-beaf-085304ca7855
LeeEJ_2024	PRJNA1043247	SAMN38338246	SRR26895044	df9f01e0-ef4d-47d7-b7fb-858d9e145cae
LeeEJ_2024	PRJNA1043247	SAMN38338247	SRR26895043	72662e1a-819b-4cb5-8036-80c322d6652a
LeeEJ_2024	PRJNA1043247	SAMN38338248	SRR26895041	d3ac62e5-5145-43e3-b310-34f5104c5740
LeeEJ_2024	PRJNA1043247	SAMN38338249	SRR26895040	f3e60388-ff4f-40ff-a73f-d91d33ead335
LeeEJ_2024	PRJNA1043247	SAMN38338250	SRR26895039	f8259a4d-45df-4e11-8e7f-76f3d12d5899
LeeEJ_2024	PRJNA1043247	SAMN38338251	SRR26895038	38435cac-c1c2-4e4d-bd66-0a8421ba5253
LeeEJ_2024	PRJNA1043247	SAMN38338252	SRR26895037	b74c69f8-20dd-4748-95dc-a374c42e2fa9
LeeEJ_2024	PRJNA1043247	SAMN38338253	SRR26895036	bece60e3-f34e-4977-8ee9-ae2d5531eb98
LeeEJ_2024	PRJNA1043247	SAMN38338254	SRR26895035	92d97736-2a00-4e43-80c1-397e0326e82f
LeeEJ_2024	PRJNA1043247	SAMN38338255	SRR26895034	b029da20-2f02-422d-8132-54838295941a
LeeEJ_2024	PRJNA1043247	SAMN38338256	SRR26895033	133bd3b9-3989-48e6-8447-399d3cf8ef84
LeeEJ_2024	PRJNA1043247	SAMN38338257	SRR26895032	2e2186f0-ca3c-489a-9db1-b28af39cf846
LeeEJ_2024	PRJNA1043247	SAMN38338258	SRR26895030	ee79eab9-f9b8-439f-b5dd-b78259bf5081
LeeEJ_2024	PRJNA1043247	SAMN38338259	SRR26895029	2c4af272-9f02-44fc-9a7e-35c628a0caf0
LeeEJ_2024	PRJNA1043247	SAMN38338260	SRR26895028	825d3181-2beb-418a-a795-f8b88c7bce74
LeeEJ_2024	PRJNA1043247	SAMN38338261	SRR26895027	76d9fb8f-a895-45bd-a231-16982cf89a41
LeeEJ_2024	PRJNA1043247	SAMN38338262	SRR26895026	c2aae29f-815b-4f94-a81d-b2a4b1dfcabb
LeeEJ_2024	PRJNA1043247	SAMN38338263	SRR26895025	3d78f39a-e558-471e-a4fa-3faf3a3e7ab9
