study_name	BioProject	sample_id	NCBI_accession	uuid
ZhangM_2023	PRJNA985875	SAMN35813273	SRR25109817	0807eb2a-a15e-4647-8e19-2600d8fda378
ZhangM_2023	PRJNA985875	SAMN35813274	SRR25109816	e0fbb54f-0249-4917-a4d7-bd68acb89c62
ZhangM_2023	PRJNA985875	SAMN35813275	SRR25109805	25172837-2849-4db3-be91-d54d6a815d00
ZhangM_2023	PRJNA985875	SAMN35813276	SRR25109800	39ddb5e7-97f6-4d3c-812b-9653b03f99b3
ZhangM_2023	PRJNA985875	SAMN35813277	SRR25109799	7b152a7d-e244-4e2b-b924-7195c7ecfb10
ZhangM_2023	PRJNA985875	SAMN35813278	SRR25109798	dd30f93b-7999-47a4-93fb-21971b899939
ZhangM_2023	PRJNA985875	SAMN35813279	SRR25109797	1406666f-04a8-43c9-983b-4ed62fd6da4a
ZhangM_2023	PRJNA985875	SAMN35813280	SRR25109796	fe3de3ca-3a14-4bd8-ae1c-0dad69edc9cd
ZhangM_2023	PRJNA985875	SAMN35813281	SRR25109795	8707e374-5ddb-4220-8cbf-364b8b0e7be1
ZhangM_2023	PRJNA985875	SAMN35813282	SRR25109794	22848a9c-66a6-4993-9058-cb6464edb42f
ZhangM_2023	PRJNA985875	SAMN35813283	SRR25109815	08e2b754-78e2-4cb4-8ff2-95fd7b0ff44a
ZhangM_2023	PRJNA985875	SAMN35813284	SRR25109814	9baef0b2-93d2-4a40-8082-d357c7f8156a
ZhangM_2023	PRJNA985875	SAMN35813285	SRR25109813	09a9303d-d87d-4556-9672-04cbbcaf3d37
ZhangM_2023	PRJNA985875	SAMN35813286	SRR25109812	ac9f3532-90d8-412c-9c80-491037f0bcc2
ZhangM_2023	PRJNA985875	SAMN35813287	SRR25109811	eda61949-02dc-40ae-8dbe-bea2add85a52
ZhangM_2023	PRJNA985875	SAMN35813288	SRR25109810	1f007260-be6c-4a21-800a-ad9c36129a0d
ZhangM_2023	PRJNA985875	SAMN35813289	SRR25109809	e47a59bb-443a-405f-9c5d-02659d80e9e5
ZhangM_2023	PRJNA985875	SAMN35813290	SRR25109808	b3eaf3ab-43ef-4830-ab6d-12bafed3c61e
ZhangM_2023	PRJNA985875	SAMN35813291	SRR25109807	28f7352f-fe23-4003-93e1-41f4fedc6232
ZhangM_2023	PRJNA985875	SAMN35813292	SRR25109806	b07e2362-5851-4181-ba9a-15d9109ee4dd
ZhangM_2023	PRJNA985875	SAMN35813293	SRR25109804	677be4e3-722b-4e43-bd5a-36d8fbed6f86
ZhangM_2023	PRJNA985875	SAMN35813294	SRR25109803	0c817272-f873-475f-a401-dfe46a679a9f
ZhangM_2023	PRJNA985875	SAMN35813295	SRR25109802	7a3945d9-21bb-434a-9a4e-bfcdeb6194de
ZhangM_2023	PRJNA985875	SAMN35813296	SRR25109801	56aa2ad5-007d-407c-a644-48aac1e9a8f0
