#mpa_vJun23_CHOCOPhlAnSGB_202403
#/usr/local/bin/metaphlan --input_type fastq --index latest --bowtie2db metaphlan --samout sam.bz2 --bowtie2out bowtie2.out --nproc 16 --profile_vsc --vsc_breadth 0.75 --vsc_out metaphlan_viruses_list.tsv -o metaphlan_bugs_list.tsv out.fastq
#SampleID	Metaphlan_Analysis
M-Group/Cluster	genomeName	len	breadth_of_coverage	depth_of_coverage_mean	depth_of_coverage_median	M-Group-Type [k|u]	First Genome in Cluster	Other Genomes
M1184	VDB|002C-0019-0-0035|M1184-c3726-c0-c0	1623	0.9987677141096735	16.774830351634794	18.0	uVSG	-	-
M361	VDB|0040-0165-0-0001|M361-c3077-c0-c30	2662	0.9984973703981969	16.873212942061702	17.0	uVSG	-	-
M892	VDB|004A-0089-0-0001|M892-c3062-c1-c27	1887	0.9830418653948065	291.7611859838275	62.0	uVSG	-	-
M510	VDB|0024-004F-0-0002|M510-c2274-c0-c12	1842	0.9750271444082519	7.267260579064588	7.0	uVSG	-	-
M1021	VDB|001D-00FD-0-000E|M1021-c3640-c0-c2	3158	0.9667511082963901	4.636750736980019	4.0	uVSG	-	-
M1064	VDB|0038-001A-0-0001|M1064-c1042-c2-c7	62558	0.9563445122925924	11.033195714309592	8.0	uVSG	-	-
M756	VDB|004C-0076-0-0001|M756-c2952-c0-c7	28685	0.9456858985532508	30.67051277325174	17.0	uVSG	-	-
M697	VDB|0035-003E-0-0006|M697-c2776-c0-c4	4582	0.9369271060672195	945.5434428138831	784.0	uVSG	-	-
M441	VDB|0048-0014-0-0001|M441-c2353-c0-c2	8442	0.9320066334991708	668.1020589730554	453.0	uVSG	-	-
M108	VDB|001F-0081-0-0003|M108-c1279-c3-c1	5813	0.9029760880784449	15.38407315679177	15.0	uVSG	-	-
M1237	VDB|001F-0014-0-0000|M1237-c237-c0-c1	21771	0.8938955491249828	22.619855094804993	22.0	kVSG	NC_031246_Klebsiella_phage_vB_KpnP_KpV71	NC_0312461_Klebsiella_phage_vB_KpnP_KpV71|NC_0286641_Klebsiella_phage_vB_Kp2|NC_0310251_Klebsiella_phage_vB_KpnP_KpV475|NC_0286701_Klebsiella_phage_vB_KpnP_KpV41|NC_0235672_Klebsiella_phage_F19|NC_0288161_Klebsiella_phage_vB_KpnP_SU503|NC_0136492_Klebsiella_phage_KP34|NC_0288701_Klebsiella_phage_vB_KpnP_SU552A|NC_0254181_Klebsiella_phage_NTUHK2044K11_DNA
M437	VDB|0024-0007-0-0000|M437-c2044-c0-c2	3544	0.8885440180586908	22.463639250555733	24.0	uVSG	-	-
M343	VDB|0020-0022-0-0001|M343-c2403-c0-c1	24641	0.8877480621728014	8.245302857142857	5.0	uVSG	-	-
M646	VDB|0012-007C-0-0001|M646-c3660-c0-c3	8506	0.8864331060427934	6.3977453580901855	6.0	uVSG	-	-
M1307	VDB|0046-01CF-0-0001|M1307-c689-c4-c3	9787	0.8822928374374169	4.2875506658946145	4.0	uVSG	-	-
M104	VDB|0037-00BA-0-0003|M104-c1264-c1-c2	3753	0.8697042366107114	16.276041666666668	18.0	uVSG	-	-
M229	VDB|0024-0055-0-0005|M229-c1542-c3-c9	7848	0.82861875637105	34.94002767953253	14.0	uVSG	-	-
M282	VDB|0051-0083-0-000C|M282-c3522-c0-c6	7246	0.8269390008280431	77.93040720961282	54.0	uVSG	-	-
M727	VDB|0051-0046-0-0001|M727-c2871-c0-c40	5203	0.8156832596578897	16.450518378887843	13.0	uVSG	-	-
M412	VDB|004F-0194-0-0003|M412-c2480-c2-c9	4124	0.8118331716779825	18.196833930704898	1.0	uVSG	-	-
M102	VDB|003C-0098-0-0000|M102-c2095-c0-c0	5244	0.8058733790999237	13.898958826313299	13.0	uVSG	-	-
M1046	VDB|0001-00BC-0-0001|M1046-c3148-c0-c6	2902	0.7963473466574776	8.369969710082216	7.0	uVSG	-	-
M223	VDB|0027-0004-0-0001|M223-c655-c0-c0	74559	0.7957188267010019	7.377730582524272	7.0	uVSG	-	-
M27	VDB|0051-00B1-0-0003|M27-c979-c4-c3	4734	0.7904520490071821	3.741047568145377	3.0	uVSG	-	-
M848	VDB|0008-00E4-0-0000|M848-c3188-c0-c0	2824	0.7666430594900849	8.770438799076212	8.0	uVSG	-	-
M185	VDB|0037-011B-0-0003|M185-c1457-c0-c1	2638	0.7604245640636846	31.39531405782652	31.0	uVSG	-	-
