#mpa_vJun23_CHOCOPhlAnSGB_202403
#/usr/local/bin/metaphlan --input_type fastq --index latest --bowtie2db metaphlan --samout sam.bz2 --bowtie2out bowtie2.out --nproc 16 --profile_vsc --vsc_breadth 0.75 --vsc_out metaphlan_viruses_list.tsv -o metaphlan_bugs_list.tsv out.fastq
#SampleID	Metaphlan_Analysis
M-Group/Cluster	genomeName	len	breadth_of_coverage	depth_of_coverage_mean	depth_of_coverage_median	M-Group-Type [k|u]	First Genome in Cluster	Other Genomes
M867	VDB|0021-00B6-0-0027|M867-c3230-c0-c8	1977	1.0	376.88872028325744	419.0	uVSG	-	-
M892	VDB|000E-000C-0-0002|M892-c3062-c0-c0	19587	1.0	116.45530198601114	119.0	uVSG	-	-
M251	VDB|0021-0030-0-000B|M251-c1586-c0-c0	5485	1.0	299.98158614402917	307.0	kVSG	NC_001422_Coliphage_phiX174	NC_0014221_Coliphage_phiX174
M460	VDB|0002-0027-0-0005|M460-c1950-c0-c3	2774	1.0	187.4971160778659	186.0	uVSG	-	-
M351	VDB|0021-000A-0-0001|M351-c1836-c1-c4	4614	0.9997832683138275	39.666811185779316	39.0	uVSG	-	-
M638	VDB|001F-0071-0-0007|M638-c3751-c0-c2	2914	0.9996568291008923	12.266392035702026	12.0	uVSG	-	-
M546	VDB|0037-00DC-0-000A|M546-c3282-c0-c1	3785	0.9944517833553501	15.879383634431456	6.0	uVSG	-	-
M696	VDB|004F-00E7-0-0000|M696-c2774-c1-c12	1999	0.9559779889944973	5.739403453689168	6.0	uVSG	-	-
M651	VDB|0033-0001-0-0000|M651-c2751-c0-c1	21866	0.9539924997713345	7.293384467881112	6.0	uVSG	-	-
M1064	VDB|001D-00BB-0-0006|M1064-c1042-c2-c0	90140	0.9425560239627246	9.746392504884536	9.0	uVSG	-	-
M441	VDB|0048-0014-0-0001|M441-c2353-c0-c2	8442	0.9267945984363894	62.522239263803684	59.0	uVSG	-	-
M665	VDB|0013-005D-0-0000|M665-c2297-c0-c13	1935	0.9250645994832042	11.029608938547486	10.0	uVSG	-	-
M117	VDB|0001-011F-0-0001|M117-c1314-c0-c3	7078	0.9063294716021475	3.904442712392829	3.0	uVSG	-	-
M738	VDB|0028-005D-0-0006|M738-c70-c0-c12	1681	0.8667459845330161	2.8085106382978724	3.0	uVSG	-	-
M368	VDB|0021-009F-0-0001|M368-c1880-c1-c1	4444	0.8625112511251125	5.040699191234021	4.0	uVSG	-	-
M610	VDB|0035-000D-0-0005|M610-c2545-c0-c0	4029	0.8374286423430132	5.194427978660344	4.0	uVSG	-	-
M707	VDB|0012-001E-0-0002|M707-c2809-c0-c0	27107	0.8352823993802339	3.1646497659217383	3.0	uVSG	-	-
M923	VDB|001E-000A-0-0006|M923-c3291-c0-c1	12062	0.834936163157022	10.260450799324794	10.0	uVSG	-	-
M167	VDB|0017-000D-0-000D|M167-c1420-c0-c6	2037	0.8173784977908689	3.1093093093093094	2.0	uVSG	-	-
M861	VDB|0051-002E-0-0004|M861-c3216-c0-c1	8728	0.8141613198900092	4.638333802420489	4.0	uVSG	-	-
M495	VDB|001E-0016-0-0003|M495-c2231-c1-c7	3042	0.8109796186719264	21.29387920551277	20.0	uVSG	-	-
M1302	VDB|004E-0022-0-0002|M1302-c867-c0-c3	14188	0.8070200169157035	3.088471615720524	3.0	uVSG	-	-
M1102	VDB|004A-0090-0-0001|M1102-c3882-c0-c22	2037	0.8016691212567502	4.209430496019595	3.0	kVSG	NC_024711_Uncultured_crAssphage	NC_0247111_Uncultured_crAssphage
M697	VDB|0030-0055-0-0000|M697-c3861-c6-c10	5920	0.7668918918918919	72.13722466960353	75.0	uVSG	-	-
M229	VDB|000D-003E-0-0004|M229-c1542-c3-c17	6090	0.7517241379310344	108.75404106596767	123.0	uVSG	-	-
