#mpa_vJun23_CHOCOPhlAnSGB_202403
#/usr/local/bin/metaphlan --input_type fastq --index latest --bowtie2db metaphlan --samout sam.bz2 --bowtie2out bowtie2.out --nproc 16 --profile_vsc --vsc_breadth 0.75 --vsc_out metaphlan_viruses_list.tsv -o metaphlan_bugs_list.tsv out.fastq
#SampleID	Metaphlan_Analysis
M-Group/Cluster	genomeName	len	breadth_of_coverage	depth_of_coverage_mean	depth_of_coverage_median	M-Group-Type [k|u]	First Genome in Cluster	Other Genomes
M302	VDB|0010-008F-0-0000|M302-c2613-c0-c5	11563	1.0	19.984865519328896	15.0	uVSG	-	-
M902	VDB|0028-0087-0-0014|M902-c3340-c0-c0	1878	1.0	22.44462193823216	23.0	uVSG	-	-
M441	VDB|0016-0029-0-0002|M441-c2353-c2-c2	3291	1.0	50.42054086903677	55.0	uVSG	-	-
M940	VDB|0001-0094-0-0008|M940-c483-c2-c0	4712	0.9961799660441426	9.988069876438006	10.0	uVSG	-	-
M703	VDB|0040-016D-0-0007|M703-c1739-c1-c22	2094	0.9828080229226361	12.45821185617104	10.0	uVSG	-	-
M223	VDB|0012-0058-0-0004|M223-c3122-c0-c4	3982	0.9804118533400301	7.512551229508197	7.0	uVSG	-	-
M721	VDB|002F-00FD-0-0008|M721-c1938-c0-c7	6108	0.9775703994760969	8.273488527884776	7.0	uVSG	-	-
M892	VDB|0051-0078-0-0002|M892-c3062-c0-c96	5051	0.9754504058602257	33.24477369596103	25.0	uVSG	-	-
M538	VDB|002F-0083-0-0002|M538-c2377-c0-c17	1512	0.9252645502645502	11.035739814152967	11.0	uVSG	-	-
M179	VDB|001E-0080-0-0003|M179-c2923-c0-c1	31660	0.8842703727100443	10.746035147878269	10.0	uVSG	-	-
M203	VDB|0030-007E-0-0003|M203-c949-c1-c0	12009	0.8823382463152636	7.536617591543979	7.0	uVSG	-	-
M638	VDB|0040-014D-0-0000|M638-c3142-c0-c0	32819	0.8686126938663579	4.2574455396920055	4.0	uVSG	-	-
M760	VDB|0010-0006-0-0003|M760-c3374-c0-c6	18893	0.8632826972952945	4.187553648068669	4.0	uVSG	-	-
M135	VDB|0030-0012-0-0000|M135-c1349-c1-c6	6356	0.8580868470736313	23.933443344334435	26.0	uVSG	-	-
M330	VDB|004C-00AD-0-0005|M330-c2326-c0-c20	6845	0.8504017531044558	3.8508847277100156	4.0	uVSG	-	-
M914	VDB|0040-010D-0-0001|M914-c1802-c0-c6	5142	0.8432516530532866	61.493773062730625	71.0	uVSG	-	-
M1064	VDB|000C-006E-0-0000|M1064-c1042-c1-c0	97523	0.8050613701383263	8.896385265946607	6.0	uVSG	-	-
M642	VDB|000E-0014-0-0003|M642-c2655-c0-c1	5788	0.7994125777470629	8.651826237302789	9.0	uVSG	-	-
M1019	VDB|0016-0055-0-0002|M1019-c3638-c0-c6	2330	0.7965665236051502	6.606681034482759	7.0	uVSG	-	-
M941	VDB|0003-0086-0-0000|M941-c3439-c0-c0	27268	0.7843626228546281	9.224144380026184	7.0	uVSG	-	-
M694	VDB|0006-0025-0-0001|M694-c507-c0-c3	62504	0.7546397030590042	8.24815552917232	7.0	uVSG	-	-
